,41_neg.mzXML.filtered,54_neg.mzXML.filtered,28_neg.mzXML.filtered,15_neg.mzXML.filtered,2_neg.mzXML.filtered,5_neg.mzXML.filtered,9_neg.mzXML.filtered,7_neg.mzXML.filtered,16_neg.mzXML.filtered,3_neg.mzXML.filtered,6_neg.mzXML.filtered,17_neg.mzXML.filtered,8_neg.mzXML.filtered,12_neg.mzXML.filtered,13_neg.mzXML.filtered,11_neg.mzXML.filtered,14_neg.mzXML.filtered,4_neg.mzXML.filtered,23_neg.mzXML.filtered,21_neg.mzXML.filtered,19_neg.mzXML.filtered,10_neg.mzXML.filtered,33_neg.mzXML.filtered,24_neg.mzXML.filtered,20_neg.mzXML.filtered,31_neg.mzXML.filtered,18_neg.mzXML.filtered,32_neg.mzXML.filtered,22_neg.mzXML.filtered,35_neg.mzXML.filtered,25_neg.mzXML.filtered,44_neg.mzXML.filtered,26_neg.mzXML.filtered,55_neg.mzXML.filtered,27_neg.mzXML.filtered,30_neg.mzXML.filtered,34_neg.mzXML.filtered,40_neg.mzXML.filtered,39_neg.mzXML.filtered,42_neg.mzXML.filtered,43_neg.mzXML.filtered,53_neg.mzXML.filtered,57_neg.mzXML.filtered,29_neg.mzXML.filtered,37_neg.mzXML.filtered,60_neg.mzXML.filtered,62_neg.mzXML.filtered,50_neg.mzXML.filtered,47_neg.mzXML.filtered,59_neg.mzXML.filtered,61_neg.mzXML.filtered,64_neg.mzXML.filtered,48_neg.mzXML.filtered,51_neg.mzXML.filtered,52_neg.mzXML.filtered,38_neg.mzXML.filtered,36_neg.mzXML.filtered,56_neg.mzXML.filtered,63_neg.mzXML.filtered,65_neg.mzXML.filtered,66_neg.mzXML.filtered,67_neg.mzXML.filtered,45_neg.mzXML.filtered,46_neg.mzXML.filtered,58_neg.mzXML.filtered,49_neg.mzXML.filtered
2/461.0733mz/7.67min,2.89E+09,3.07E+09,2.99E+09,3.08E+09,3.29E+09,194082.2514,1.10E+08,2.34E+09,2.47E+09,227175.855,1.74E+08,423860.5878,76100000,1.08E+08,3.28E+08,434331.1084,513689.3313,9598119.344,1110687.885,2111326.935,1.06E+09,516588.4386,2.78E+09,7.82E+08,4.74E+09,825137.0366,5.56E+09,4.88E+09,1224905.952,9724768.23,4.96E+09,1.17E+09,1.78E+09,136816.6929,4.70E+09,699009.5278,2.13E+09,4263509.862,4.97E+09,5.31E+09,5.38E+09,249962.4078,20135.08721,1.67E+08,1674542.678,76624.05242,10808.70184,5.99E+08,3.41E+08,295925.2916,1.18E+08,6364.266152,2.21E+09,1191644.169,2.04E+09,13200000,1.18E+09,7697985.332,4.78E+08,966566.2406,6.64E+08,2.44E+08,1.40E+07,11700000,2.40E+08,3.35E+08
3/591.0998mz/5.96min,2.01E+09,2.27E+09,2.24E+09,2.29E+09,2.31E+09,1.16E+08,,1.72E+09,1.92E+09,21204.71361,5.46E+08,,7672.022402,21903.0511,51879.70679,,46095.25189,6.87E+09,43517.23771,180533.0008,6860.800723,8526.202438,3.59E+09,,3.57E+09,93280.53976,5.46E+09,8.72E+08,65617.03793,37065.06995,4.44E+09,,,,1.33E+09,194096.7686,7.15E+09,4.32E+09,5.16E+09,6.49E+09,6.12E+09,80900000,,4.82E+09,6457.929769,,,7.50E+09,,,3.31E+08,,6.88E+09,42805.39321,7.01E+09,115986.2254,7.94E+08,6.31E+09,6.06E+09,4773.063882,,4309.109297,8026.152773,8313.510074,4.89E+09,4.87E+09
4/467.2136mz/8.68min,8.67E+08,9.35E+08,9.14E+08,9.59E+08,9.15E+08,3.70E+07,9.74E+08,1.05E+09,1.04E+09,9.11E+08,7.43E+08,1.79E+09,1.05E+09,6.89E+08,1.93E+08,8.59E+08,7.36E+08,1.14E+09,5.22E+08,7.31E+08,6.48E+08,2.27E+09,3.34E+08,6.03E+08,6.83E+08,8.14E+08,1.34E+09,1.06E+09,4.56E+08,5.96E+08,9.30E+08,4.72E+08,9.70E+08,,1.39E+09,5.73E+08,4.49E+08,4.96E+08,8.40E+08,9.31E+08,1.17E+09,29900000,,4.88E+08,5.03E+08,69144.35832,3531.679102,3.43E+08,3.22E+08,1.18E+09,5.08E+08,,6.44E+08,3.82E+08,5.15E+08,9.10E+08,6.30E+08,1.01E+09,2.80E+08,6.58E+08,8.50E+08,8.14E+08,1.10E+09,9.61E+08,8.22E+08,1.19E+09
5/431.0983mz/6.96min,1.15E+09,1.15E+09,1.12E+09,1.14E+09,1.24E+09,1.80E+09,1.79E+09,1.79E+09,1.72E+09,1.30E+09,1.14E+09,1.75E+09,1.78E+09,1.79E+09,1.79E+09,1.80E+09,1.01E+09,1.67E+09,1.06E+09,1.02E+09,1.76E+09,1.06E+09,1.61E+09,1.70E+09,1.49E+09,1.05E+09,1.31E+09,9.09E+08,1.28E+09,1.15E+09,1.44E+09,1.70E+09,1.70E+09,1.70E+09,6.77E+08,1.07E+09,1.49E+09,1.63E+09,1.30E+09,1.39E+09,1.18E+09,1.76E+09,1.70E+09,1.55E+09,1.48E+09,1.69E+09,1.78E+09,1.41E+09,1.68E+09,1.72E+09,1.21E+09,1.71E+09,1.38E+09,1.28E+09,1.47E+09,1.33E+09,9.93E+08,1.55E+09,1.51E+09,1.58E+09,1.65E+09,1.68E+09,1.34E+09,1.36E+09,1.39E+09,1.39E+09
7/279.0510mz/6.81min,9.06E+08,9.83E+08,9.63E+08,1.02E+09,1.01E+09,16100000,3927264.403,3.16E+08,3.00E+08,56390.94918,2.86E+09,574529.0974,1153763.762,915181.1867,572861.9226,364848.4833,734126.6535,4.99E+08,4136843.067,3001290.357,789411.9832,692370.4757,5.82E+08,269062.4703,8.52E+08,3809124.874,2.27E+09,3.96E+09,3153349.77,3013578.126,1.01E+09,998420.022,532445.8334,,4.53E+09,7260470.798,6.20E+08,1.46E+08,2.02E+09,1.38E+09,2.39E+09,13400000,,5.55E+08,508088.7155,21985.15642,3338.990186,1.75E+09,467051.0932,240947.8543,2.13E+09,2006.56784,8.72E+08,4878334.397,7.41E+08,2820728.378,2.57E+09,4.16E+08,1.48E+09,580883.6894,2281979.363,986546.2165,364230.4004,1164979.507,6.80E+08,8.10E+08
9/163.0386mz/6.82min,8.39E+08,8.89E+08,9.09E+08,9.43E+08,9.23E+08,16300000,5232972.797,3.07E+08,2.87E+08,228864.5785,2.61E+09,2023762.324,3913341.073,1135500.069,921468.5886,2281642.74,460229.5634,4.82E+08,4826259.554,7887447.9,607173.3045,548215.3284,5.38E+08,1164281.6,7.95E+08,5529246.405,2.10E+09,3.55E+09,4678393.627,5651784.164,9.62E+08,1729396.739,1319575.515,81127.97098,4.31E+09,8579409.598,5.73E+08,1.36E+08,1.81E+09,1.27E+09,2.17E+09,1.30E+07,73509.54065,5.11E+08,3238938.76,51939.12671,48768.2571,1.57E+09,2042516.631,2085740.568,1.93E+09,93296.44954,7.97E+08,5932622.13,6.69E+08,3766581.013,2.34E+09,3.82E+08,1.31E+09,2619375.904,3540856.272,2785818.695,1327228.257,2260462.812,6.18E+08,7.34E+08
10/295.0460mz/5.96min,1.16E+09,1.30E+09,1.28E+09,1.28E+09,1.34E+09,1.99E+08,25800000,1.08E+09,1.12E+09,2736724.845,5.44E+08,24700000,5.90E+07,7752617.038,8133437.445,47400000,5497590.284,2.01E+09,5606823.853,10100000,10600000,5386798.7,1.74E+09,2378534.005,1.68E+09,7208805.422,1.96E+09,6.45E+08,5931788.256,6496194.079,1.92E+09,6146046.347,3853224.803,82630.72335,9.48E+08,15600000,2.20E+09,1.85E+09,2.09E+09,2.15E+09,2.33E+09,1.66E+08,364894.2109,1.91E+09,7777812.683,223702.7848,37319.97501,2.15E+09,10200000,15900000,3.52E+08,157016.9672,2.09E+09,8869325.848,2.61E+09,9388164.638,6.20E+08,1.89E+09,2.18E+09,17300000,10100000,21600000,2782475.989,4203786.82,2.00E+09,2.14E+09
11/923.1531mz/7.67min,5.40E+08,6.02E+08,5.64E+08,5.98E+08,6.05E+08,,477471.205,2.93E+08,3.35E+08,,1177908.493,,234755.7597,419258.8447,4099978.252,,,,,,51800000,,5.24E+08,26900000,1.71E+09,,2.46E+09,1.92E+09,,,1.96E+09,67300000,1.72E+08,,1.70E+09,,2.66E+08,,2.12E+09,2.38E+09,2.52E+09,,,1214059.642,,,,16100000,5118366.557,,567458.9291,3172.685361,2.83E+08,12572.72719,2.43E+08,,73600000,,9692926.98,5282.545327,1.90E+07,2565597.771,,,2601038.051,5146569.487
12/595.1310mz/6.47min,9.19E+08,9.89E+08,9.97E+08,1.01E+09,1.02E+09,73913.04079,3.51E+08,311877.5387,488105.8516,81192.084,5.96E+08,3.55E+09,1.21E+08,2.83E+08,2.80E+08,3.30E+09,88400000,98055.07304,153482.2246,99300000,8.65E+08,1.52E+08,190655.2767,4.65E+08,888944.1558,6.50E+07,158002.4263,61300000,52706.88917,30429.98008,420061.4341,5.59E+08,9.71E+08,18513.32759,73300000,201839.0463,412909.3075,320565.4346,325159.5493,142507.4193,125903.1154,29325.79074,,62700000,9.16E+09,138922.9704,23267.60976,9.09E+08,5.79E+08,2.58E+09,4.06E+08,24736.97475,252937.1214,96791.14194,332460.1087,74200000,14100000,115708.9158,7.45E+08,7.39E+09,6.45E+08,4.24E+08,96500000,71600000,1.20E+08,1.94E+08
13/593.1509mz/7.42min,4.66E+08,5.15E+08,5.03E+08,5.09E+08,5.36E+08,10100000,12700000,1.37E+09,1.21E+09,1.66E+08,13500000,97257.44871,17300000,2546213.56,3447274.341,77073.74753,10300000,4.60E+08,1.09E+08,11400000,1.45E+08,10900000,4.72E+08,42400000,1.85E+09,5245781.391,1.95E+09,1.64E+08,48100000,1.20E+08,2.14E+09,25900000,83200000,13010.89419,2.04E+08,71600000,3.86E+08,74100000,1.72E+09,1.96E+09,1.97E+09,8513601.6,,11100000,387681.2465,,,19500000,73600000,77862.83253,8904757.224,,4.20E+08,30800000,3.88E+08,1.56E+08,77300000,3.98E+08,15200000,110345.0844,80300000,53400000,1.95E+08,1.86E+08,19700000,2.90E+07
