windowID,windMzMid,windRtMid,15_neg,28_neg,2_neg,41_neg,54_neg
window000000005,330.1196,2.038,525251,534377,573410,451893,522302
window000000014,272.1617,2.289,2696356,2545156,2664041,2186590,2436230
window000000021,265.093,2.388,5477882,5563506,5603024,5173000,5490384
window000000044,295.1035,2.482,11609573,11324207,12160744,10370422,11132316
window000000058,312.0951,2.597,659042,633496,666263,630309,666398
window000000059,515.162,2.593,717158,641935,772115,639447,718113
window000000079,267.0736,2.712,1185516,1064245,1212432,1049777,1090854
window000000081,282.0845,2.708,1308696,1341220,1380204,1187195,1303684
window000000088,297.1192,2.744,3715609,3687665,4030912,3377029,3519258
window000000098,329.088,2.822,1284203,1233955,1280124,1157082,1264940
window000000101,273.1458,2.801,408472,391892,431204,414867,410636
window000000102,763.216,2.811,979395,1082833,1242974,892758,1019649
window000000116,381.1304,2.924,1207730,1256684,1221240,1118245,1182847
window000000123,639.1766,3.005,17756318,18841650,18868440,14938354,18247848
window000000126,250.072,2.954,1614089,1629313,1840136,1457951,1551288
window000000129,408.0362,3.01,2075162,1910570,1833710,1904144,1844191
window000000131,309.1193,3.017,25281894,24155352,25251338,22545274,24669670
window000000135,294.0623,2.96,763296,787609,790541,636765,610167
window000000137,241.0353,3.033,15209721,16962812,12407157,9178049,16638619
window000000139,147.0653,3.011,2833267,3150402,2807506,2365811,2712832
window000000143,239.0195,3.044,2109530,2303857,1574022,1257960,2301780
window000000145,661.1589,3.006,2641817,2795220,2914492,2298276,2626515
window000000149,347.0984,3.039,1275518,1194737,1188500,1029588,1236793
window000000150,326.1094,3.01,720058,717961,714028,602233,760193
window000000154,692.088,3.013,1273578,1209144,1250278,1052752,1189117
window000000157,760.0759,3.008,264990,252783,318159,205624,227431
window000000163,115.0389,3.071,1036566,984720,1026706,915966,1013207
window000000166,376.1184,3.059,1492778,1396494,1325703,1080021,1745271
window000000177,366.0254,3.098,727485,674520,727867,623529,650856
window000000181,357.1298,3.115,1304653,1237069,1207276,1037624,1195594
window000000184,331.0674,3.213,26783528,28485786,30334462,24888026,26724402
window000000186,779.2452,3.118,227314,235528,228110,186676,224954
