Sample_ID,9_neg,6_neg,17_neg,8_neg,12_neg,13_neg,11_neg,19_neg,24_neg,44_neg,26_neg,37_neg,50_neg,47_neg,59_neg,61_neg,63_neg,65_neg,66_neg,67_neg,3_neg,14_neg,4_neg,23_neg,21_neg,10_neg,33_neg,31_neg,32_neg,22_neg,35_neg,27_neg,30_neg,34_neg,40_neg,29_neg,48_neg,51_neg,52_neg,38_neg,36_neg,56_neg,45_neg,46_neg,58_neg,49_neg,41_neg,54_neg,28_neg,15_neg,2_neg
Class,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,QC,QC,QC,QC,QC
2/461.0733mz/7.67min,524895052.9,786502014.9,1812266.862,289144074.9,627013486.4,1671245479,2375128.204,1664295251,1108440518,2346252116,2220559029,4400988.286,1276425296,508263431.7,2027419.081,796412034.4,1263561562,2749118.04,1250869450,380041509.4,1164376.829,1725611.971,23053229.22,1995952.213,3713303.673,1240577.012,8553337028,1824675.004,7923179018,2042707.882,18903877.79,5476731023,1080701.804,3339440420,11039926.34,239029297.7,3512119059,2304412.462,3282639594,14763919.93,1291353759,21732228.55,14391512.82,12504638.11,279887282.6,332755785.8,3182666530,3043251485,2950133333,3011912975,3125018294
3/591.0998mz/5.96min,3870.221119,2467989081,3467.808425,29150.06334,127162.1151,264340.6263,4435.290852,10772.07364,1149.639359,1626.46529,1011.808455,16972.55832,15981952791,1208.900256,5556.70613,2234003249,16019211437,13575.59935,1527.917449,6711.64099,108683.5447,154845.5723,16500699673,78202.28176,317513.0502,20475.50807,11045496378,206276.8507,1415781169,109425.9036,72050.41151,1549798353,300082.7879,11209858686,11186201819,6898929429,10933655714,82777.46338,11280050761,129728.1322,868927868.6,17813798836,8250.605754,8885.250847,5702703382,4837375155,2213550078,2250221782,2210133333,2239376855,2194161781
4/467.2136mz/8.68min,4647707105,3358454006,7653360036,3989504319,4000113816,983385297.3,4697418831,1017418229,854718200.1,946522221,1210079920,1321971149,730907974.3,479943768.4,8084319198,3428621300,740161584.5,1871490638,1601263604,1267843396,4669278306,2472409555,2738107369,938055658.6,1285648821,5451360516,1027631139,1800047008,1721018393,760445969.4,1158558322,1619714068,885885111.5,703947769.2,1284341690,698480821.9,1023441029,738715116,828705583.8,1017815692,689451583.4,2851337056,1130761722,1027090361,958613942.8,1182028015,954799958.9,926853465.3,901813333.3,937800176.2,869116030.1
5/431.0983mz/6.96min,8541474042,5152944236,7482335231,6763159703,10392167970,9120516488,9843252498,2763358152,2409653300,3409084271,2120758623,3889696422,3004607125,2504054444,11783922899,8166597979,3991585688,4493852900,3108335230,2616679245,6663075520,3392844634,4011087111,1904863981,1793928588,2545569228,4953551301,2321927958,1475854452,2134585177,2235473273,788882319.7,1654270627,2336040481,4220719668,2218535397,2193087919,2475275782,2365431472,1487576781,1086707020,4375814294,1377473370,1453530584,1621013845,1380688186,1266459000,1139980198,1105066667,1114798958,1177818445
7/279.0510mz/6.81min,18740015.06,12927561855,2456468.175,4383757.63,5313249.506,2918880.788,1995164.303,1239447.749,381380.7468,2002175.29,664228.878,1335345.175,3729122318,696143.6698,1650762.173,14375912146,3912282661,1652155.603,4298882.939,1536592.267,289028.5792,2466116.512,1198522436,7434078.635,5278529.972,1662714.129,1790662644,8423346.229,6429464941,5258666.936,5858063.788,5278636497,11225031.38,972043690.3,378052191.1,794378803.6,1385777294,9433767.959,1192370558,3154924.842,2812524713,1174412094,374416.177,1245098.046,793013967.3,804573691.1,997749438,974435247.5,950160000,997451699.4,959352120.7
9/163.0386mz/6.82min,24970559.39,11797530224,8652838.935,14868848.68,6592350.529,4695122.601,12477103.11,953316.6481,1650302.941,3468034.836,1646177.149,8512492.233,3345555451,3044388.599,14289654.67,13026061240,3462898842,7450056.964,6670405.028,4339044.024,1173032.285,1546027.133,1157691011,8672988.667,13872076.74,1316528.368,1655286087,12227154.11,5763788015,7801898.195,10986445.6,5022278874,13264173.17,898356507.3,352158205.4,731401024.6,1266587733,11472559.28,1076512690,4212840.946,2560820167,1078426491,1364344.463,2415920.464,720709752.6,729082826.3,923964435.4,881254257.4,896880000,922153875,876714858.8
10/295.0460mz/5.96min,123111748.8,2458948828,105607817.3,224172147.5,45009217.02,41441983.42,259205649.1,16642952.51,3371436.656,12324935.25,4806917.488,20441439.3,4581493133,15203187.69,108932775.6,2375737594,5762686622,49204845.05,19026779.29,33643018.87,14026926.4,18467791.78,4827715625,10075695.1,17763410.53,12936291.52,5353527493,15941263.67,1047223456,9892115.068,12627885.43,1104668300,24118338.11,3449187288,4790387353,2733808135,3321415762,17151583.96,4199847716,10500462.95,678507907.5,5335670333,2860288.491,4492891.699,2332394021,2125663826,1277471687,1288673267,1262933333,1251704093,1272803804
11/923.1531mz/7.67min,2278384.304,5324295.42,3467.808425,891961.064,2434082.87,20890457.68,4435.290852,81330654.7,38129219.87,134959630.2,214570872.5,2131.620931,34307925.32,7628969.358,5556.70613,3829924.747,25622614.97,15024.67192,35792951.14,3996039.547,4157.070285,2724.573844,1948.056761,1457.518543,1426.464484,1947.758154,1612211728,1793.558002,3117316335,1352.569231,1576.622157,1980945264,1253.945799,417038099.4,2100.172115,1737699.542,449741942.9,24313.25556,391020304.6,907.1596693,80545454.82,2289.72417,833.7472172,866.8446036,3033322.8,5112091.863,594685095.5,596754851.5,556480000,584780506.1,574661418.8
12/595.1310mz/6.47min,1674892396,2693995408,15178451468,459742878.7,1643007562,1426672970,18045962914,1358127728,659111049.8,1120987122,1211327425,24074067042,1937012678,863004477.9,17675884348,2740197339,1969358502,21018717047,1215076499,660400000,416145.3748,296957886.8,235513.4369,275813.9258,174644224.3,365025021.3,586596.7043,143738397.4,99526818.4,87896.36279,59152.52797,85413698.72,312052.7156,647364.3339,830071.6777,89743335.11,401966.1922,187175.6012,534973.8805,82991125.66,15430583.06,326658.534,99198641.96,76524110.15,139943641.3,192700365.5,1012065931,980382970.3,983706666.7,987672761.2,968850656.6
13/593.1509mz/7.42min,60601519.74,61021708.06,415835.9057,65731833.07,14782502.24,17564761.15,421475.7544,227663029.6,60099588.2,51938401.53,103792422,1018893.485,41553077.26,109701432.8,533447.4507,60100473.02,40180200.3,313844.6694,151272314.5,83173018.87,850823489.4,34600296.76,1104850342,195877522.6,20049790.1,26176136.4,1452221251,11600310.93,266270770.3,80213708.62,233266776.3,237713431.6,110696987.8,605175587.8,191874434,15887576.07,667461540.7,59561323.49,624345177.7,174482690.1,84594614.92,1123596186,200453214.3,198791682.8,22974081.11,28805724.74,513191212.1,510512871.3,496293333.3,497747955.9,509121521.5
15/119.0489mz/6.81min,15554940.72,7955422680,12630353.51,11305471.89,3886186.381,2866055.867,7178109.906,2775314.502,359493.3753,1850504.54,855064.1363,6553723.445,2407947554,1940730.819,9220251.821,9448956340,2513905953,6634267.372,4211955.224,3144336.694,784265.3674,2349964.531,773395239.4,5026840.866,3816014.179,1156339.765,1203005316,5954365.731,3896645418,4908874.839,4254147.947,3227775518,7593417.573,627124961.5,241849826.4,513841424.3,916965021.4,7026942.104,759512690.4,2897334.541,1794762852,796115890.9,754859.8106,1332798.568,521290063.8,517509744.5,660761217.2,643345346.5,647253333.3,616073108.5,572761711.7
16/279.0510mz/7.00min,16700800.04,9808674554,1613620.04,1573108.945,788696.1652,843381.9029,1503183.191,902956.807,203823.4244,1215475.856,123161.654,385419.4592,1144307820,664219.3785,1310966.389,10663822155,1168397930,554916.1164,4087605.064,610125.6219,1158780.489,1026104.793,881478425,5750679.855,6704899.14,1611984.641,1544523449,10452740.65,4659738480,8708212.849,5666453.875,4183290292,15017418.51,832508386.3,238483608.2,635503042.9,1357171799,13964917.76,1095822335,1859903.631,2757806334,861047328.8,833.7472172,877170.9057,627413991.8,620813033.3,707014502.5,701831287.1,685733333.3,688437251.4,682944727.5
17/609.1464mz/6.85min,1216802168,404551323.8,2150601.365,569929188.4,661847569,402016061.9,2968970.624,946764185,304750270.3,298796209.6,369261501.5,16835773.54,519946197.5,736311247.1,1963493.429,447475575.2,536617148.8,6222502.167,862798506.4,616788679.2,3567308124,490450808.4,725358268,661311268.9,173940722.9,389039825.4,563043408.7,120297981.8,238669531.9,848831136.9,1016654367,178285073.7,649339872.3,302587793.9,766461976.5,43941314,392530953.7,344218038.4,337918781.7,31652949.54,54280632.6,714245817,29194211.73,23940503.73,80234354.34,112242996.4,368925013,353889505,364080000,367688077.4,361894215.8
18/1067.5438mz/12.94min,105933365.2,70965986.41,483145074.9,278125444,240935737.8,104962368.5,617937517.9,237083568.7,574064462.7,266710710.6,98927152.26,1153768060,40487613.74,512734957.5,551514996.1,67492545.28,38329796.34,873172683.8,162763735.7,383156603.8,12216812.45,3268762.478,25459594.84,26057101.63,14878551.33,47549311.99,606117767.8,6469727.756,566637187.9,231802609.1,14930750.6,481253172.9,293748989.9,57381933.97,1007276043,23616667.13,110290073.6,276534716.2,76916751.27,862347141.3,485899211.2,23114489.38,855267047.8,843261493.1,44665345.51,63869244.86,441608746.9,399488712.9,409466666.7,407781724.2,419835284.5
19/311.0432mz/4.22min,1121366704,121139390.8,3039965914,1987153104,6792646103,7795748730,3324831955,1413080873,880232176.2,2105610873,1171407263,4415331073,4794585837,1336986212,2843213955,115412252.4,5022525038,3612147585,1079440053,1573122642,1696521536,1656111292,441940136.8,657717185.9,597976195.9,1952403568,149837235,508612790.8,1063606.992,268490791.8,501523569.1,944100.18,700359433.7,87640713.36,652995.6552,156013134.4,73102930.65,371291367.2,77077664.97,1733642113,789339.5872,412173475.4,1685862931,1400091959,177261945.6,209586480,613406663.3,618563168.3,604826666.7,613139427,580360540.3
21/692.1119mz/7.67min,209521.6549,1233538.855,3467.808425,3081.66641,383585.9313,7278601.611,4435.290852,38781219.52,17718038.97,64772601.14,99925156.31,2131.620931,15540013.97,2362214.018,5556.70613,787927.6282,11836246.16,2306.841466,16977371.73,1181976.119,4157.070285,2724.573844,1948.056761,1457.518543,1426.464484,1947.758154,670729306.5,1793.558002,889734037.2,15166.83108,1576.622157,630406698.6,1253.945799,191273113.2,2100.172115,313262.6035,214541209.5,1568.44613,185050761.4,907.1596693,36880187.87,2289.72417,12161.02381,866.8446036,821957.4877,1557357.015,249987993.9,253769505,238773333.3,233716623.7,229864567.5
22/133.0150mz/6.99min,11135614.5,5469353092,426880.2077,8099598.865,546808.4495,3159432.028,1210582.368,488942.756,113736.2962,413544.0799,286924.6961,534828.2621,622230695.3,370946.1697,1027009.46,5669373804,639711083.8,745248.8153,3884442.928,1449073.046,4842978.122,4776282.411,540415928.2,1604663.592,2173780.282,4007694.827,864563922.7,5466995.613,2402931341,13463732.87,2589873.198,2155734552,9661663.31,471911533.5,138532823.5,356396976.8,748510442,8932458.712,606644670.1,3587154.215,1466452574,494043549.3,169886.9568,175452.3501,344028118.2,346661997.8,385444043.4,375697821.8,371973333.3,385290166.2,395139091.3
23/1113.5495mz/12.94min,66804824.91,43446257.12,301858781.3,173638426.1,149786555.1,65219335.78,368575121.3,150414608.5,369952653.8,175066504,63997010.22,706978606.4,26210402.58,336854943,354887910.6,44468973.67,24760045.97,540400032.3,105495013.9,247650000,7098081.873,2555778.884,14416497.99,17249602.29,8601203.848,26176136.4,390745972.2,3826697.674,362063303.5,133078044.7,9173521.276,306463884.9,168519157.3,37784278.93,585204076.6,15028788.18,72149414.16,161859830.4,49722335.03,482064355.2,312989131.5,14466781.91,483143644.8,468122349.8,29388164.67,41122655.32,267608293,248813069.3,250613333.3,240561880.4,238413249.8
