"","MD_11_1","MD_11_2","MD_12_4","MD_12_5","MD_14_7","MD_14_8","MD_15_10","MD_15_11","MD_15_12","MD_16_13","MD_16_14","MD_16_15","MD_17_16","MD_17_17","MD_17_18","MD_17_19","MD_17_20","MD_18_21","MD_18_22","MD_18_23","MW_1_24","MW_1_25","MW_1_26","MW_1_27","MW_10_28","MW_10_29","MW_10_30","MW_2_31","MW_2_32","MW_2_33","MW_3_34","MW_3_35","MW_3_36","MW_3_37","MW_5_38","MW_5_39","MW_5_40","MW_6_41","MW_6_42","MW_6_43","MW_6_44","MW_8_48","MW_8_49","MW_9_51","MW_9_52","MW_9_53"
"X10_295.0460_5.96_neg",105607817.3,108932775.6,2458948828,2375737594,4581493133,5762686622,259205649.1,20441439.3,49204845.05,16642952.51,19026779.29,123111748.8,45009217.02,41441983.42,3371436.656,4806917.488,12324935.25,15203187.69,33643018.87,224172147.5,10075695.1,14026926.4,12627885.43,4790387353,2733808135,2125663826,2332394021,9892115.068,24118338.11,17151583.96,5353527493,3449187288,3321415762,4199847716,1104668300,1047223456,678507907.5,12936291.52,18467791.78,17763410.53,15941263.67,4827715625,5335670333,10500462.95,2860288.491,4492891.699
"X1008_376.1186_3.08_neg",34549797.34,36865857.24,16015682.88,15864883.45,17594970.51,16328899.26,30641121.19,18359507.8,20504832.21,5646995.364,9701768.722,28361177.91,18517578.62,9053805.616,2928805.942,2466306.622,2982935.576,8386602.468,7783805.975,12165584.65,4633583.027,5722614.244,5177423.182,6521103.324,2092924.283,830221.5446,2363947.654,4845798.998,7517634.774,7765218.879,2665197.21,2989516.318,4341459.345,4447708.168,2983848.841,3934976.578,4866871.15,294668.3108,73469.77767,6453553.063,10626361.35,8760500.998,9680970.403,3277031.023,3365822.793,1340160.233
"X101_371.2301_5.40_neg",166321623.1,167167278.3,99894796.15,96514339.76,87154915.89,88290703.3,150383024.3,115639623.3,103244848.3,60291450.59,85526314.82,227613582,261255619.4,395901749.2,55847258.84,30938125.8,54946417.07,72438717.83,80680943.4,175918142.8,68826689.13,238845630.2,81837760.69,70949520.8,40506162.42,45393848.99,42449571.19,71375191.87,49473514.08,61301751.78,48612491.02,60203996.3,73897527.72,63721827.41,71430555.68,56826079.02,46729496.21,216853680.4,142768214.8,59269993.53,73638286.67,76378784.51,71142271.1,36574256.19,42146573.27,23619871.99
"X1010_363.1657_6.16_neg",575363.0438,1061700.988,168342.7604,188478.2862,4748695.29,5310117.692,314653.9056,6577224.124,3923724.012,8119605.057,5244956.747,1314642.531,941844.7144,1184188.571,5358285.054,4704332.29,8800996.888,7136172.643,4524899.745,836625.3636,4905133.172,1114136.584,5407189.314,4246663.945,4405372.916,4632502.773,4434008.123,5687296.449,6559582.339,5660534.538,3128355.586,6569977.61,6237954.739,5985039.947,4887317.358,7349532.086,3023464.893,809462.997,973155.6075,5140539.256,6826116.047,444157.4434,528645.4406,3423829.109,3840978.023,3342691.205
"X1013_417.1100_7.19_neg",86658.81611,255365.516,251311.5769,430234.8802,63208.8204,65977.79043,340451.808,1894416.578,1061793.917,7849131.965,4628618.518,182057.4229,488862.1532,1037991.26,9639213.306,9789243.736,9173710.897,3652725.282,2220774.04,69222.08474,230158.8687,166636.3116,233360.9226,194530.8094,12342696.13,14402862.37,12828167.12,1772987.144,458865.6148,438534.4086,5921292.242,613969.7061,1042989.222,749250.18,904510.6216,491878.3468,2141226.205,1947.758154,76152.55633,903334.3151,1102127.727,86840.4908,155653.5371,21698488.38,7912750.527,16245341.82
"X1014_593.3548_11.44_neg",5089950.967,4916915.063,6396015.629,6882559.871,3219126.488,3101927.903,5298786.34,6153618.517,4252114.269,4868645.18,4023768.373,5960019.057,9157360.841,12385472.23,5556600.865,5951315.707,3953590.608,3041363.6,2547749.846,3688297.13,3539216.604,9024056.942,3959161.301,5310149.06,4954387.11,5289070.332,5062253.413,7927974.08,5584345.129,8102069.004,99470.11226,290356.443,234812.9911,237549.8505,2592105.029,4049188.598,8069904.292,3141753.536,4957914.633,2462783.917,2899976.74,9715015.466,9076193.939,5255864.755,5898334.154,5546698.191
"X1016_525.2248_9.20_neg",385454.8787,403794.3012,382141.7212,255160.3248,5356718.568,5042433.058,432398.2017,8987660.833,3371012.074,7454304.34,6811197.298,1499512.106,346866.7755,1923025.263,7033347,5569984.756,9068796.182,5487109.751,3979874.53,470657.4698,10163550.62,271892.5025,11339633.8,7008024.248,6309963.567,3847363.361,5001570.579,9430697.711,6691530.359,11401275.29,4099128.113,14346692.56,8402422.856,10578775,2865348.697,2259642.911,9574276.143,40284.69628,144656.735,4444675.075,10457974.23,233773.4809,140633.5508,6711245.265,6329800.523,8217403.824
"X1019_229.1443_11.89_neg",9663770.509,14751705,10645656.58,16457389.66,5046966.541,6125821.062,12778709.19,6415739.742,6781117.423,3958260.778,4393764.382,10162270.59,12606116.75,12792338.3,3547903.906,2923250.115,4499737.87,3863514.097,3856266.599,9221393.853,4879698.727,13501106.82,5557440.294,6014190.181,4191105.919,3028442.961,3238887.473,4657816.648,4064371.851,4909676.827,7112874.951,4180880.542,4283107.051,4215084.726,2973485.286,3770233.143,3343919.466,6038299.384,8756926.373,5187878.754,6143417.51,6251221.666,6116600.189,3301202.373,2764872.429,2703973.213
"X102_441.0841_8.89_neg",1359228.003,4229480.262,71507.51691,63022.50439,1728.321626,7442.089501,2766687.665,1279513.808,1034027.515,1101587.1,1491278.114,1410421.391,94790.59237,46651.7937,13862.51637,1011.808455,10816.2189,636947.5023,1390215.114,4506665.899,833827252.1,490504867.1,334349046,11593.20428,1160.888872,805.6321565,8477.925918,775454771.5,1747033466,1392342627,2495.437936,6336.191766,1288.940709,8202.776184,7392.032558,1316.847946,887.6039126,1988425774,564354354.9,566318632.6,734171506.8,16880.1619,18306.01059,11562.99923,6144.963637,866.8446036
"X1028_569.2092_6.19_neg",16512402.28,16806928.44,3961671.372,3583532.73,1350953.658,1429379.577,3378122.144,1058507.399,1284753.944,1998112.205,2995476.131,7402746.998,12517689.03,5387684.834,412332.2815,832395.8249,796098.9061,195887.4362,2866334.494,9409991.309,2411435.456,16650584.49,2138900.921,2656814.568,627589.6518,688523.8104,574870.3662,1847160.205,2983100.399,1709914.648,1396922.885,384704.3386,312867.2964,274188.0037,1575540.497,1065863.391,36266.7328,98940992.62,50724706.9,11321336.53,14378674.07,23758943.86,23034726.46,106734.7919,239941.1295,77024.37449
"X103_387.1663_5.52_neg",67554798.08,72621850.42,104414922.7,93139712.49,67976572.54,67407572.88,78746019.99,21869614.59,27446264.67,20568177.15,67441455.3,270082363.6,142239170.5,172729334.6,58965633.7,42539922.98,37499926.98,62452310.23,150926320.8,452143822.8,70983138.91,192716645.8,49569189.97,102540183.3,98474345.38,112242996.4,103558294.6,87718109.63,117654200.7,74838416.21,99686374,166188114.8,108859798.9,134845685.3,131674596.9,78744709.5,100353508.3,569150855.6,156541148.4,90224055.44,89338942.39,213284153,201852078.7,50555240.97,46566823.64,46277848.74
"X1030_331.1764_10.27_neg",19401693.24,20415819.19,14730082.52,14672042.76,1126901.656,1231653.898,25271228.88,2494172.412,7548222.2,9650778.987,8568330.879,15691279.71,17836087.41,9787703.45,5122238.701,3756555.38,4855593.168,1115509.28,3524989.007,11296572.65,3426504.157,24541381.95,3915060.899,3157920.624,1514575.467,3959137.875,2639558.041,1950692.339,2125242.248,2240441.665,3094245.001,1892023.821,2024017.4,2339169.266,7770299.385,6002625.758,3429935.339,21640533.55,31530087.33,5143271.334,7264710.414,13369367.76,13182430.61,2701753.522,2853925.879,2720031.19
"X1035_267.0733_2.74_neg",4546938.834,4964233.081,754272.4208,726510.2009,4418712.361,4922256.516,18142868.57,5206554.825,7388664.591,7429821.663,6274355.839,2361532.002,8254500.046,8192012.864,7097297.012,7159511.691,7302837.047,7955908.856,5516182.676,2943482.64,3131550.391,202004.2355,4723741.365,4074179.66,10665691.33,13707551.77,12828167.12,6237094.899,4309682.996,2988112.489,6937102.762,7239192.557,4678575.814,6459174.224,3575651.517,3341491.826,5001217.597,7074338.548,791115.8086,5209159.821,2631307.791,2013400.952,1757064.961,6729057.568,4023684.836,4925377.935
"X1036_755.2043_5.55_neg",18721.342,26130.18422,374753.7274,257955.2169,1749371.732,1370496.914,4435.290852,2131.620931,2306.841466,4867124.146,2834396.288,42116.81638,134931.2074,154778.72,1197256.835,3130448.069,3292160.334,614525.5409,503664.8156,104374.8742,2156610.853,8154167.836,3131713.59,2431521.155,314901.3069,304669.0122,337379.4022,629612.3794,1442287.514,616608.135,12565120.94,13172785.27,12634682.52,12122970.01,1001556.771,1431000.532,404880.928,72369.65252,250931.4533,97117.20231,150768.9568,7028101.162,6583681.278,777953.5905,654563.7917,710617.353
"X1044_221.0691_12.23_neg",604973.2691,351717.7343,159829.6062,110576.5429,772364.3296,783124.2259,317935.4999,789367.8718,629015.6562,3443514.974,2736168.967,557060.3516,310196.9483,453910.2198,6641041.529,3020297.168,5973937.728,4794015.367,3061077.299,258585.2992,4563634.915,1006277.792,4506165.595,5700123.909,320728.9678,702945.6778,471462.1904,8687224.989,5456355.779,7420711.872,8089086.139,3360307.253,2186837.382,2620386.195,2316166.591,2862233.041,3599847.236,3923836.957,2424029.057,6100164.415,5255030.764,419059.8883,481695.1623,7346110.444,6544687.132,5731194.366
"X1048_521.3331_10.03_neg",2652295.045,2320842.228,7655089.595,7647670.739,2777404.117,2747523.387,2905687.079,4462142.537,3020807.503,4038227.733,3398684.918,4194740.753,6859585.372,10536855.77,3768349.187,4094214.771,3841680.324,2603829.381,2174221.429,2533099.115,7097147.937,13071573.68,8643527.847,7261889.318,5448942.23,3950301.926,4303253.597,5769735.67,4578784.079,6376080.524,9851.727245,172680.3019,135089.6344,82661.35583,1274630.714,2333294.247,4024984.709,6310213.405,20127098.62,11805297.46,16328567.34,5613183.415,5168847.24,3849162.745,4587551.2,3403190.818
"X1049_357.1401_3.14_neg",53445251.65,64866675.59,30257457.59,35151533.25,285279.2258,384410.4511,59059514.99,113472.0996,13870831.1,213836.7501,9833307.503,51057973.33,35322281.19,28747628.05,224886.4596,144889.7012,103679.8534,108895.5038,4839163.581,18113865.98,362343.4295,99946132.79,382350.8897,403101.5815,303870.6692,250091.0807,292558.7163,331362.9749,327402.7173,294408.8373,132775.4288,347080.2221,274113.4594,357322.9226,152965.0196,101127.6883,350839.8769,17507425.5,40646950.56,434608.7837,443497.6126,42512719.68,40652726.35,79103.48547,253581.2467,178403.5575
