,Modules
X9782_453.2116_9.47_pos,3
X9701_476.1955_7.26_pos,53
X9624_423.2343_10.15_pos,4
X9605_351.1409_5.83_pos,46
X9586_355.1504_9.39_pos,15
X943_263.1035_8.83_pos,79
X9429_1215.6160_11.98_pos,40
X9350_205.1523_4.44_pos,78
X9186_438.2335_10.15_pos,48
X9138_349.1263_8.36_pos,46
X9103_357.1936_9.25_pos,4
X9081_1085.5526_11.64_pos,1
X9068_537.0886_9.20_pos,20
X9038_539.2833_9.01_pos,4
X9014_175.1352_3.87_pos,78
X9005_409.1770_7.87_pos,54
X9002_1231.6100_11.79_pos,1
X8970_457.2377_7.39_pos,4
X8915_319.1359_3.23_pos,13
X8913_1105.5788_9.89_pos,1
X8879_367.1148_4.99_pos,52
X8506_305.2467_8.67_pos,29
X845_679.2976_8.56_pos,34
X7728_541.3581_7.46_pos,57
X747_300.2897_12.13_pos,5
X70_407.1228_9.65_pos,2
X690_377.1356_3.95_pos,2
X682_455.2254_8.79_pos,72
X5007_643.2758_12.24_pos,75
X626_1053.5626_13.09_pos,40
X623_397.1545_5.71_pos,27
X619_401.1785_10.65_pos,2
X612_286.2740_11.82_pos,5
X597_221.1846_8.49_pos,3
X5713_907.5047_13.41_pos,40
X557_527.2468_9.74_pos,3
X536_202.1082_6.31_pos,39
X506_677.2819_9.10_pos,34
X5026_1267.6315_8.67_pos,1
X4900_941.5092_12.85_pos,1
X4714_923.4998_13.18_pos,1
X446_319.1365_3.86_pos,2
X4157_383.2100_8.48_pos,3
X3896_378.1330_3.08_pos,39
X324_383.1449_2.96_pos,64
X3232_543.1848_6.98_pos,35
X3036_483.2219_8.01_pos,36
X303_371.3269_13.30_pos,58
X2913_392.1470_3.62_pos,39
X2701_499.2155_6.42_pos,36
X26174_543.3142_8.26_pos,4
X2611_469.2424_10.90_pos,3
X2554_122.0632_6.25_pos,70
X24460_279.0971_4.36_pos,79
X236_180.1026_4.92_pos,27
X2349_280.0818_5.01_pos,22
X2337_237.0885_3.37_pos,13
X2274_517.2058_7.85_pos,15
X2270_447.1899_6.70_pos,13
X1910_455.1893_10.10_pos,61
X1842_415.2315_7.84_pos,4
X1726_163.1145_6.46_pos,22
X17186_427.1882_4.36_pos,54
X1708_543.2390_8.28_pos,3
X17_335.1308_3.14_pos,2
X1608_423.2357_12.02_pos,4
X15559_591.3267_7.45_pos,35
X1543_251.1306_7.61_pos,23
X1488_545.3298_9.41_pos,21
X1484_839.3344_7.60_pos,34
X12438_327.2535_11.22_pos,29
X1478_433.1677_4.17_pos,13
X14546_504.2812_9.40_pos,68
X1351_415.1573_10.32_pos,39
X133_1069.5580_12.94_pos,1
X12176_697.1606_6.56_pos,29
X11573_439.2283_8.55_pos,4
X1152_545.3299_10.04_pos,21
X1009_943.5261_12.47_pos,1
X10019_285.1678_8.62_pos,35
X9984_162.0915_9.62_pos,27
X812_407.1472_6.31_pos,10
X476_441.1807_8.51_pos,35
X9817_483.2223_8.49_pos,3
X9815_279.0412_10.67_pos,39
X9717_453.1460_6.81_pos,35
X594_301.1275_3.83_pos,13
X9665_352.1215_8.28_pos,4
X9610_376.1611_5.13_pos,30
X9581_395.1388_9.28_pos,3
X9561_285.1605_9.33_pos,29
X9548_359.0786_7.94_pos,35
X9538_385.2437_8.05_pos,35
X9523_399.1627_9.71_pos,29
X9514_619.2090_7.55_pos,4
X95_443.1891_7.80_pos,2
X9498_368.0944_4.07_pos,41
X9477_603.3002_7.99_pos,4
X9472_310.0923_5.78_pos,22
X9457_296.0723_4.23_pos,22
X9434_398.1082_5.49_pos,13
X9421_769.2682_7.97_pos,35
X941_134.0812_3.78_pos,27
X9368_656.1609_6.68_pos,20
X935_303.1408_4.57_pos,55
X9346_625.1425_5.50_pos,20
X934_561.1943_5.79_pos,35
X9338_499.2535_10.49_pos,4
X897_254.1903_10.18_pos,58
X9333_609.2180_7.74_pos,35
X9268_515.2110_8.87_pos,7
X9252_439.0852_7.20_pos,35
X345_547.3445_9.56_pos,21
X9228_305.2452_10.97_pos,29
X9223_551.2123_6.44_pos,4
X9220_489.2279_7.19_pos,35
X9209_431.1348_5.93_pos,78
X9197_399.1988_6.89_pos,3
X9192_506.2050_7.32_pos,53
X9180_541.2984_8.27_pos,4
X9161_757.2188_5.55_pos,29
X9160_175.1381_5.01_pos,78
X916_499.2110_7.21_pos,35
X9148_373.1808_7.22_pos,35
X9146_525.2310_9.43_pos,3
X9142_353.1575_7.31_pos,36
X9136_499.0804_8.60_pos,63
X9135_453.1430_6.67_pos,35
X4503_437.1785_10.99_pos,61
X910_589.1909_7.65_pos,35
X9096_525.3043_9.21_pos,4
X9093_317.0663_8.99_pos,22
X908_469.1681_5.71_pos,13
X9072_633.1423_6.22_pos,20
X9040_289.2524_12.38_pos,29
X903_357.1904_7.60_pos,35
X1533_543.2378_7.58_pos,3
X9029_369.1516_6.23_pos,36
X9018_360.1678_6.68_pos,35
X9016_621.1563_5.31_pos,30
X900_459.1904_6.44_pos,35
X9_743.2029_6.19_pos,26
X8976_611.3042_10.75_pos,3
X8969_637.1527_5.02_pos,30
X8963_314.0876_6.07_pos,22
X8953_267.1022_5.94_pos,13
X8948_457.2369_6.83_pos,4
X8947_621.1570_5.53_pos,30
X8943_297.0642_5.96_pos,22
X8908_622.1409_5.64_pos,30
X8886_441.2464_8.89_pos,4
X1414_219.1025_7.47_pos,46
X8854_195.0556_7.21_pos,35
X8837_165.0574_6.99_pos,22
X8833_189.1545_4.01_pos,78
X12583_347.1664_4.01_pos,4
X8829_535.1087_8.09_pos,29
X8827_165.0578_6.82_pos,22
X8818_305.2474_11.22_pos,29
X877_805.3293_10.88_pos,38
X8621_557.2566_6.06_pos,78
X840_391.1923_7.32_pos,39
X8370_469.1687_10.50_pos,4
X837_370.7357_7.97_pos,60
X8268_389.1571_8.04_pos,4
X822_641.1907_3.02_pos,41
X815_543.1841_7.61_pos,51
X11931_559.1663_7.62_pos,51
X80_172.1696_12.91_pos,58
X7994_543.3139_8.18_pos,4
X7536_543.3142_8.67_pos,4
X79_259.1099_4.64_pos,69
X7872_601.2105_4.74_pos,13
X7851_542.2606_7.46_pos,35
X7842_523.1788_8.58_pos,77
X7729_543.3140_9.90_pos,21
X772_216.1208_7.82_pos,39
X5795_453.1596_3.02_pos,41
X7538_461.2056_8.58_pos,13
X751_591.3587_7.33_pos,10
X7477_387.2006_6.39_pos,36
X7471_515.1179_10.84_pos,29
X7459_633.2156_7.33_pos,36
X7449_573.1861_4.21_pos,27
X7448_437.1053_7.63_pos,35
X7446_517.2256_7.39_pos,36
X7419_545.3298_9.29_pos,21
X7405_703.2801_8.25_pos,35
X739_252.0870_6.00_pos,27
X725_381.1223_5.09_pos,33
X7148_853.3137_7.86_pos,34
X7021_371.2049_5.95_pos,22
X6993_287.0563_10.77_pos,20
X699_268.1227_3.42_pos,27
X6978_373.0569_5.40_pos,10
X695_441.1761_7.95_pos,35
X693_215.1254_5.70_pos,39
X3520_285.1309_6.63_pos,13
X6883_351.1062_6.62_pos,8
X6835_175.1472_10.88_pos,31
X155_448.1942_4.63_pos,69
X6803_580.1358_5.32_pos,30
X680_449.1785_7.30_pos,59
X12010_457.2371_7.30_pos,4
X3125_391.1366_9.02_pos,77
X661_430.1769_6.57_pos,69
X659_444.2442_8.09_pos,60
X6586_695.2919_8.34_pos,34
X655_130.1592_5.09_pos,58
X65_597.1482_6.47_pos,20
X6488_597.1811_5.35_pos,30
X647_157.0836_3.89_pos,39
X6466_163.1174_9.21_pos,71
X1475_321.0271_2.41_pos,76
X6425_289.0878_2.41_pos,76
X6420_331.0827_2.62_pos,70
X641_805.3296_9.29_pos,75
X639_179.0905_6.59_pos,39
X638_252.0867_6.55_pos,27
X632_287.1085_5.11_pos,39
X6319_495.0772_5.97_pos,20
X6266_495.0791_5.80_pos,20
X6228_479.0830_6.44_pos,20
X1919_401.1785_6.44_pos,35
X6223_595.1345_7.00_pos,26
X6218_165.0573_5.10_pos,10
X6206_638.1358_5.25_pos,30
X6187_493.1042_7.90_pos,20
X6027_583.2737_12.23_pos,7
X6_373.2455_5.40_pos,10
X5994_180.0937_5.26_pos,29
X59_417.1734_6.40_pos,13
X2118_417.1734_6.58_pos,13
X576_197.1170_7.62_pos,39
X575_441.1742_8.73_pos,35
X568_479.0825_7.05_pos,20
X561_457.2422_7.70_pos,4
X5540_496.1234_2.59_pos,74
X545_344.2279_5.38_pos,2
X5388_496.1237_2.76_pos,74
X5377_457.0747_7.34_pos,20
X2269_446.2598_6.28_pos,58
X1234_373.1830_8.05_pos,4
X5322_279.1376_3.86_pos,39
X527_379.1025_5.49_pos,10
X14794_611.3040_9.45_pos,3
X521_387.3217_12.90_pos,58
X5187_507.1524_3.46_pos,74
X5163_943.5260_8.93_pos,1
X5162_527.2456_7.56_pos,73
X5094_369.1649_5.18_pos,65
X1663_355.1500_3.93_pos,65
X5043_529.2622_7.21_pos,73
X504_377.1784_5.22_pos,39
X5000_157.0835_3.68_pos,39
X493_272.2583_11.53_pos,39
X489_595.1701_7.42_pos,29
X4851_841.3500_7.43_pos,34
X1007_423.0896_7.42_pos,35
X4850_514.6573_4.07_pos,41
X4821_627.1560_6.07_pos,20
X4800_297.0631_4.96_pos,10
X4767_797.4682_12.65_pos,1
X4583_303.0499_9.51_pos,20
X4454_389.1515_8.29_pos,35
X4431_291.1888_10.55_pos,29
X4302_471.2175_7.20_pos,72
X4287_410.0295_5.50_pos,10
X4270_463.0874_7.67_pos,20
X4199_449.1084_7.68_pos,20
X4195_509.2362_10.73_pos,3
X412_146.1170_2.11_pos,39
X410_429.1759_9.21_pos,71
X2364_181.1223_9.36_pos,71
X41_298.0969_4.33_pos,70
X29677_261.1309_4.31_pos,69
X21_385.1490_7.28_pos,39
X409_382.2023_7.73_pos,27
X4_205.0992_4.29_pos,67
X396_581.1565_7.02_pos,20
X3938_345.2627_10.98_pos,29
X3935_368.1918_8.19_pos,2
X3932_251.1618_8.99_pos,10
X3876_475.2475_5.51_pos,4
X387_460.1268_9.38_pos,14
X3856_261.1098_11.59_pos,39
X373_391.1497_7.06_pos,10
X361_174.0757_5.21_pos,39
X357_250.1089_8.38_pos,27
X351_390.1133_6.21_pos,66
X35_423.1229_6.67_pos,2
X3495_177.1605_10.36_pos,2
X3472_429.2115_5.05_pos,54
X347_374.1457_6.82_pos,62
X3412_375.2379_7.83_pos,36
X3364_233.1145_9.16_pos,39
X3327_181.1226_12.21_pos,39
X3319_591.2059_6.79_pos,35
X326_391.1504_6.90_pos,10
X2_433.1132_6.96_pos,10
X3245_453.3437_6.72_pos,10
X319_179.0261_3.07_pos,27
X3115_408.2227_9.29_pos,48
X3107_427.1594_7.00_pos,35
X3073_384.1289_7.69_pos,35
X304_525.2884_6.80_pos,56
X3016_299.1101_10.68_pos,39
X29709_346.1423_5.39_pos,13
X16293_534.2895_9.58_pos,68
X2945_219.1744_9.28_pos,3
X2909_523.3472_9.90_pos,57
X2163_522.2913_9.90_pos,3
X2889_423.2347_10.38_pos,4
X2857_373.1796_6.29_pos,35
X2773_211.1353_10.18_pos,39
X2757_199.1317_8.95_pos,39
X2724_386.1021_6.67_pos,35
X27_727.2082_6.68_pos,26
X2670_333.1899_5.35_pos,35
X25351_415.2247_7.42_pos,35
X25022_314.0876_6.07_pos,22
X250_567.1336_7.02_pos,20
X25_227.1291_5.70_pos,28
X2477_296.0753_4.65_pos,22
X2461_369.1656_4.90_pos,65
X2447_161.0962_8.06_pos,39
X2419_367.1491_4.19_pos,67
X2413_563.3395_7.46_pos,21
X1459_517.2103_8.80_pos,15
X2401_479.1778_6.22_pos,66
X2382_405.1657_8.34_pos,10
X2369_355.1494_3.74_pos,65
X2354_367.1501_3.57_pos,64
X23480_477.1070_8.10_pos,63
X2346_561.1946_6.26_pos,35
X22718_365.0690_5.10_pos,33
X22703_234.5830_5.70_pos,28
X2249_469.2057_9.26_pos,3
X22400_231.0591_6.82_pos,62
X2219_337.1020_5.10_pos,52
X22_547.2003_6.19_pos,39
X2174_172.1693_12.30_pos,58
X163_158.1540_12.30_pos,58
X15620_543.3140_7.82_pos,4
X2167_455.1918_9.76_pos,61
X2164_433.1133_8.10_pos,60
X2154_440.2493_6.40_pos,48
X2150_249.1574_4.87_pos,10
X215_465.1031_7.09_pos,20
X2134_205.1435_11.39_pos,39
X20972_476.1985_6.83_pos,53
X1900_416.2491_6.82_pos,58
X208_185.1148_7.79_pos,39
X20552_523.2911_9.90_pos,4
X2019_401.1657_8.26_pos,4
X2013_155.1067_9.72_pos,39
X1983_193.1584_7.29_pos,2
X1950_280.0824_5.30_pos,22
X19362_563.0343_7.08_pos,20
X1933_499.1811_5.95_pos,22
X1929_353.0613_6.17_pos,26
X1913_525.3036_11.04_pos,4
X1219_807.3448_9.49_pos,38
X190_165.0629_8.88_pos,14
X1891_405.1657_8.51_pos,10
X18510_697.1611_5.92_pos,29
X1847_465.1732_5.80_pos,59
X1841_270.3155_13.25_pos,58
X1829_249.0625_10.27_pos,39
X1699_142.1228_7.21_pos,10
X1800_255.1567_10.11_pos,39
X17956_633.3080_7.42_pos,35
X17799_367.2092_8.70_pos,3
X1758_585.2869_8.69_pos,4
X1778_100.1124_2.92_pos,10
X14409_465.2816_10.15_pos,29
X1737_369.0725_5.23_pos,33
X17165_411.1963_7.37_pos,54
X17158_259.1145_4.33_pos,13
X1686_405.1314_8.03_pos,10
X16318_629.3149_8.34_pos,3
X16793_453.2405_8.34_pos,3
X1651_327.0697_2.68_pos,39
X16495_537.2635_9.16_pos,4
X1642_191.1642_10.95_pos,39
X1638_497.1995_6.99_pos,36
X16284_181.1217_5.88_pos,22
X16267_269.2227_12.19_pos,29
X16252_491.2491_6.80_pos,35
X1305_325.0898_3.07_pos,27
X16162_303.0498_6.83_pos,22
X1584_545.3300_8.86_pos,21
X1573_381.1173_6.32_pos,8
X1568_525.3618_9.06_pos,57
X15596_621.3339_7.21_pos,35
X15562_538.2850_7.86_pos,3
X1555_475.3257_7.10_pos,56
X15280_521.1235_8.63_pos,29
X152_465.0845_8.50_pos,14
X11087_409.1747_7.74_pos,54
X15003_433.1620_4.30_pos,13
X149_509.2363_12.23_pos,3
X10753_352.1217_7.87_pos,3
X1482_171.0991_5.56_pos,39
X1471_551.1035_7.40_pos,20
X1426_361.1860_11.07_pos,39
X137_373.1827_5.11_pos,52
X1308_427.1325_3.24_pos,27
X12553_361.1464_5.10_pos,13
X1250_289.1533_9.76_pos,10
X1241_342.2640_9.51_pos,56
X1237_216.1211_8.03_pos,39
X1225_345.1500_4.28_pos,55
X1001_313.0561_4.22_pos,10
