"","Mean_MW","Median_MW","SD_MW","CV_MW","rMAD_MW","Mean_MD","Median_MD","SD_MD","CV_MD","rMAD_MD","statistic_bonferoni","p_bonferoni","p.adj_bonferoni","p.adj.signif_bonferoni","statistic_fdr","p_fdr","p.adj_fdr","p.adj.signif_fdr","df_KW","p_KW","method_KW","p.adj_KW","p.adj.signif_KW","statistic_shapiro_MW","p_shapiro_MW","p.signif_shapiro_MW","statistic.1_shapiro_MD","p.1_shapiro_MD","p.signif.1_shapiro_MD","LogFC"
"X10_295.0460_5.96_neg",1595033544.62338,351313122.805,1980065388.28006,1.24139419823148,0.989534720292698,813050651.3922,47107031.035,1667531343.41441,2.05095628489943,0.913193912200457,250,0.835,1,"ns",250,0.835,0.871251808972504,"ns",1,0.825,"Kruskal-Wallis",0.860817655571635,"ns",0.807785437395907,0.000239544304034678,"***",0.918646544922318,0.0933186885806797,"ns",781982893.231185
"X10019_285.1678_8.62_pos",1915822.54028462,1321645.5905,2220767.75473889,1.15917195253845,0.81287861891444,351263.9994945,228434.30655,316447.857961943,0.900883262780528,0.591119515778354,108,0.000527,0.759934,"ns",108,0.000527,0.00228208408408408,"**",1,0.000757,"Kruskal-Wallis",0.00327806006006006,"**",0.930390745165123,0.0791701684664326,"ns",0.982559376062053,0.962707814135232,"ns",1564558.54079012
"X1002_370.2952_11.39_pos",8527744.29073077,8056677.439,4201901.38113711,0.492733041456739,0.26937014705275,14591362.72875,11149713.61,7630108.13606876,0.522919502304937,0.43598590789275,389,0.00371,1,"ns",389,0.00371,0.0107210821643287,"*",1,0.00426,"Kruskal-Wallis",0.0123104609218437,"*",0.952651412170003,0.26731476584371,"ns",0.914901127681342,0.0790776484946636,"ns",-6063618.43801923
"X10030_777.4422_9.91_pos",245992.584221385,34651.75129,459923.884036351,1.86966564659704,0.858572882190394,262811.7400906,30916.406115,454243.356242052,1.72839826746499,0.643339828407478,284,0.606,1,"ns",284,0.606,0.676879938032533,"ns",1,0.595,"Kruskal-Wallis",0.664593338497289,"ns",0.926943071405251,0.0655546647883427,"ns",0.915604448323004,0.08157162568547,"ns",-16819.1558692154
"X10048_667.1538_7.39_pos",1424066.04736992,204982.4428,2497047.64806084,1.75346336827044,0.926210394761673,255681.233419,166925.5761,241248.13963295,0.943550437421437,0.354320360197936,246,0.767,1,"ns",246,0.767,0.815644542772861,"ns",1,0.756,"Kruskal-Wallis",0.803946902654867,"ns",0.954887063794822,0.300892992867269,"ns",0.927697166605536,0.139425365279955,"ns",1168384.81395092
"X10057_344.1474_9.13_pos",869133.680403269,98081.719885,1120855.11357057,1.28962337882304,0.96807362526196,1698147.1021145,258210.0523,2259499.43819023,1.33056755529409,0.957295811639476,310,0.276,1,"ns",310,0.276,0.363795246800731,"ns",1,0.268,"Kruskal-Wallis",0.353250457038391,"ns",0.878808840644354,0.00543335186360593,"**",0.848232159860188,0.00497955263458939,"**",-829013.421711231
"X1008_305.9835_4.96_pos",5608863.79297319,5519353.741,5805414.33318697,1.03504284423166,0.543833560929937,20969365.4325,19523044.69,12110677.8784375,0.577541457676514,0.573467334003219,445,1.47e-05,0.0211974,"*",445,1.47e-05,0.000134160759493671,"***",1,4.14e-05,"Kruskal-Wallis",0.000377840506329114,"***",0.839001425929112,0.000876973604284629,"***",0.876909322804214,0.0155740754681864,"*",-15360501.6395268
"X1008_376.1186_3.08_neg",4522022.51811808,4394583.7565,2789782.85835983,0.616932544493575,0.427801909957749,15736045.96725,15940283.165,10358956.6567953,0.658294763395738,0.452945474573067,445,1.47e-05,0.0211974,"*",445,1.47e-05,0.000134160759493671,"***",1,4.14e-05,"Kruskal-Wallis",0.000377840506329114,"***",0.793627933717908,0.000137475320507204,"***",0.926465993449595,0.132011535576778,"ns",-11214023.4491319
"X10081_285.1625_8.31_pos",1524755.08822692,700315.73015,3622389.26762263,2.37571876007639,0.753132180305346,391122.1267405,411490.2833,218360.623844901,0.558292688947709,0.463069517879913,163,0.0315,1,"ns",163,0.0315,0.0614654939106901,"ns",1,0.0316,"Kruskal-Wallis",0.0616606224627876,"ns",0.940095758090945,0.135019661120563,"ns",0.924146837286077,0.119097276425863,"ns",1133632.96148642
"X101_371.2301_5.40_neg",74414367.1911538,62511789.595,50310542.2136036,0.676086407942798,0.21520156921049,128798473.7075,98204567.955,86665949.6159065,0.672880253322908,0.408689881497071,406,0.00091,1,"ns",406,0.00091,0.00357553133514986,"**",1,0.00122,"Kruskal-Wallis",0.00479356948228883,"**",0.891753831140324,0.0102937608512342,"*",0.981748113276571,0.954618116773608,"ns",-54384106.5163462
"X1010_363.1657_6.16_neg",4213986.05771154,4533255.448,2061969.11039449,0.489315598617398,0.286269341621271,3551742.4853,4224311.8785,2870731.76149575,0.808260107081854,0.704491553085029,225,0.448,1,"ns",225,0.448,0.536112863070539,"ns",1,0.438,"Kruskal-Wallis",0.524146058091286,"ns",0.775380080504179,6.90741821207959e-05,"****",0.875240110306113,0.0145429343812152,"*",662243.572411539
"X10108_255.0643_9.07_pos",1501341.86238423,402133.06995,1923202.45610223,1.28098903007211,0.724834183958663,455644.335904,191668.51795,1048577.1888035,2.30130631761968,0.413129056857718,147,0.0117,1,"ns",147,0.0117,0.0273442463533225,"*",1,0.0123,"Kruskal-Wallis",0.0287465153970827,"*",0.931060638554422,0.0821342163906334,"ns",0.851127355504003,0.00556756611623635,"**",1045697.52648023
"X10117_345.2240_7.47_pos",860939.530998462,911046.73665,685341.792152165,0.796039405180234,0.701714930729838,719343.559273,205291.10365,1000675.36120119,1.39109518435463,0.65545836070135,205,0.23,1,"ns",205,0.23,0.316469465648855,"ns",1,0.223,"Kruskal-Wallis",0.306837786259542,"ns",0.857598728591605,0.00200440505937798,"**",0.926451259962739,0.131925231442107,"ns",141595.971725462
"X1013_397.2211_7.48_pos",7559463.37453462,7634480.9625,4703787.78862366,0.622238319781957,0.388812545028335,9492951.156895,6357389.9705,12043398.1133772,1.26866744749126,0.601041630170672,239,0.653,1,"ns",239,0.653,0.71989755351682,"ns",1,0.642,"Kruskal-Wallis",0.707770642201835,"ns",0.888357101918948,0.00868495570479083,"**",0.958195986399592,0.508470436696316,"ns",-1933487.78236039
"X1013_417.1100_7.19_neg",3966021.28210323,826292.24755,6200811.6547907,1.56348421093251,0.804978293300218,2659048.518394,763426.7066,3549002.41300491,1.33468885146497,0.911451961268079,241,0.685,1,"ns",241,0.685,0.746049848942598,"ns",1,0.674,"Kruskal-Wallis",0.734069486404834,"ns",0.934972050161715,0.101836206243138,"ns",0.919220512910237,0.0957213362220931,"ns",1306972.76370923
"X1014_593.3548_11.44_neg",4741561.75468692,5010084.023,2817285.44507037,0.594168248949948,0.39704301881326,5322259.9242,5003433.015,2291694.21559405,0.430586677131993,0.219851839967123,287,0.561,1,"ns",287,0.561,0.63597641509434,"ns",1,0.55,"Kruskal-Wallis",0.623506289308176,"ns",0.72920578145194,1.3669101412954e-05,"****",0.972215571311093,0.800812765303389,"ns",-580698.169513077
"X10151_365.1674_7.39_pos",896840.207671538,472669.873,1038153.9879018,1.15756851557443,0.518173650238123,1053802.048957,837756.56245,952939.647191176,0.904287145896469,0.532588753223439,301,0.373,1,"ns",301,0.373,0.461687553648069,"ns",1,0.364,"Kruskal-Wallis",0.450547639484979,"ns",0.971785604088541,0.670024088769374,"ns",0.962348968993199,0.591770386597232,"ns",-156961.841285462
"X10153_339.1516_9.28_pos",1520454.81510962,114193.57925,3497324.95728367,2.30018342046655,0.652065616421249,613044.732896,205503.4882,792233.266309327,1.29229275417937,0.744592883776656,309,0.286,1,"ns",309,0.286,0.374579473206176,"ns",1,0.278,"Kruskal-Wallis",0.364101725703906,"ns",0.858350562783105,0.0020744087671925,"**",0.937114939031034,0.211375836867654,"ns",907410.082213615
"X1016_525.2248_9.20_neg",6165855.21913385,6510665.441,4137271.91547491,0.670997253168734,0.515225940174369,3713072.471595,3675443.302,3146969.48847301,0.847537857811104,0.877150101729416,186,0.104,1,"ns",186,0.104,0.162831704668838,"ns",1,0.101,"Kruskal-Wallis",0.158134636264929,"ns",0.744840272012287,2.32350962452369e-05,"****",0.830996408946645,0.00260277842095572,"**",2452782.74753885
"X1018_358.1472_5.30_pos",3103665.05290642,1649271.7805,4010576.28035626,1.29220654032901,0.692118630019814,6295041.80558,4706251.5695,5161206.13724575,0.81988433066017,0.90355520024863,365,0.0195,1,"ns",365,0.0195,0.0417815750371471,"*",1,0.02,"Kruskal-Wallis",0.042852897473997,"*",0.912551508609377,0.0301749149462839,"*",0.88702124033584,0.0237162265676797,"*",-3191376.75267358
"X1019_229.1443_11.89_neg",5045642.87526923,4470461.8495,2274554.34177899,0.450795745558512,0.268521903756826,8024584.64735,6598428.5825,4216203.86557777,0.525410853129964,0.438944408321934,369,0.0152,1,"ns",369,0.0152,0.0341940717628705,"*",1,0.0157,"Kruskal-Wallis",0.0353188767550702,"*",0.948194636861192,0.21032238552601,"ns",0.929410315802128,0.150432879654389,"ns",-2978941.77208077
"X102_441.0841_8.89_neg",362572539.0947,11578.101755,578060678.978908,1.59433111074064,0.91153589647304,1075844.2867761,835487.50865,1358091.94149593,1.26234991270495,0.919490106131343,285,0.591,1,"ns",285,0.591,0.662177156177156,"ns",1,0.58,"Kruskal-Wallis",0.64985236985237,"ns",0.748025681748507,2.59434559431491e-05,"****",0.886961097003676,0.0236563186804205,"*",361496694.807924
"X10213_465.1044_8.24_pos",145697.783700885,40048.206975,162597.697656586,1.11599293775393,0.725586600871786,1452363.08835,1322083.9775,910752.759006275,0.627083383151084,0.60656220754328,507,1.33e-10,1.91786e-07,"****",507,1.33e-10,2.13095555555556e-08,"****",1,4.42e-08,"Kruskal-Wallis",6.81345e-06,"****",0.910233657170479,0.026689677124148,"*",0.932814932743919,0.174905754373928,"ns",-1306665.30464912
"X10223_623.1891_7.76_pos",454519.749717692,365120.1212,346394.138508914,0.762110202524893,0.690648878843547,895707.842415,821716.83455,609760.592597016,0.680758349679048,0.663076966286549,375,0.0102,1,"ns",375,0.0102,0.0242712871287129,"*",1,0.0108,"Kruskal-Wallis",0.0256990099009901,"*",0.901288958441292,0.0167309970605401,"*",0.93224523492614,0.170555607520591,"ns",-441188.092697308
"X1025_620.3487_9.18_pos",4934170.78455,3408030.523,5267677.47601279,1.06759123387198,0.449105600484083,8773399.580705,4624186.928,7478156.63511023,0.85236704042942,0.574236253928531,337,0.0902,1,"ns",337,0.0902,0.146473423423423,"ns",1,0.088,"Kruskal-Wallis",0.142900900900901,"ns",0.980366946839283,0.881614015810686,"ns",0.918641182626924,0.0932965331214847,"ns",-3839228.796155
"X1028_569.2092_6.19_neg",9996858.78445346,1642727.5725,21457907.4138204,2.14646499230244,0.812743740137107,4709050.049685,2930905.3125,5180943.06051443,1.10020981001487,0.677419939867129,303,0.35,1,"ns",303,0.35,0.438107638888889,"ns",1,0.341,"Kruskal-Wallis",0.426842013888889,"ns",0.976802985856217,0.799896440203004,"ns",0.975019371344664,0.85517924065612,"ns",5287808.73476846
"X103_387.1663_5.52_neg",126709209.826154,101446845.8,101337313.58323,0.799762809051259,0.280127884912515,103938288.35,67765685.31,101498774.6224,0.976529210107967,0.41053067828851,173,0.0547,1,"ns",173,0.0547,0.0967820858895705,"ns",1,0.0539,"Kruskal-Wallis",0.0953666257668712,"ns",0.928207288709259,0.070244960182485,"ns",0.963687782292035,0.619843002761627,"ns",22770921.4761539
"X1030_331.1764_10.27_neg",6785728.57015385,3292212.3905,7818804.94881381,1.15224251426793,0.369837186086005,9904872.7689,9109554.933,7254281.56728098,0.732395229755851,0.615018713615128,338,0.086,1,"ns",338,0.086,0.141083048919226,"ns",1,0.0839,"Kruskal-Wallis",0.137637997724687,"ns",0.876391902165306,0.00483482937283657,"**",0.910151381901629,0.0641600052469404,"ns",-3119144.19874615
"X1031_369.1520_7.42_pos",4699474.962,4690063.646,1958629.63829199,0.416776268440515,0.205845584808509,5025629.00495,4969593.8565,1272113.70381006,0.253125270997341,0.184138229184081,312,0.257,1,"ns",312,0.257,0.345381174277726,"ns",1,0.249,"Kruskal-Wallis",0.334630009319665,"ns",0.969713712174256,0.615911548728217,"ns",0.939147905958943,0.231039413743689,"ns",-326154.04295
"X10314_492.1371_8.59_pos",1047099.77224615,888413.063,589832.310969872,0.563300963865756,0.358960641543381,734975.130342,656320.3523,750965.496653283,1.02175633657678,0.9778058132527,192,0.136,1,"ns",192,0.136,0.205352879581152,"ns",1,0.132,"Kruskal-Wallis",0.199313089005236,"ns",0.883638224122538,0.00687706745395779,"**",0.788830561568893,0.000591544791603491,"***",312124.641904154
"X10320_365.2536_7.36_pos",663340.111121154,692541.53555,412066.348365354,0.621199203028585,0.380367502637655,694930.8846325,450337.4355,602788.618741218,0.867408014337988,0.652022738624846,239,0.653,1,"ns",239,0.653,0.71989755351682,"ns",1,0.642,"Kruskal-Wallis",0.707770642201835,"ns",0.951050456109723,0.245380118002542,"ns",0.95545864248286,0.457557207527554,"ns",-31590.7735113462
"X1035_267.0733_2.74_neg",5202103.49127308,4701158.5895,3277040.11962681,0.629945199114991,0.369170882976868,6077922.686785,5895269.2575,3663137.76631384,0.602695683227175,0.251892839858129,323,0.168,1,"ns",323,0.168,0.243473366834171,"ns",1,0.163,"Kruskal-Wallis",0.236227135678392,"ns",0.852208865934168,0.00157044633180296,"**",0.824203344449861,0.00203007375767492,"**",-875819.195511923
