,MW_6_41,MD_15_10,MD_17_16,MD_17_17,MW_6_42,QC_62,AD_21_58,MD_11_1,AD_21_59,MD_16_13,QC_63,AD_20_54,MW_6_43,MW_2_31,MW_1_24,MD_17_18,AD_20_55,MD_17_19,MW_5_38,QC_64,MW_10_28,MW_1_25,MW_2_32,MW_6_44,MW_5_39,MW_3_34,MW_3_35,MW_1_26,MW_5_40,MD_15_11,MW_9_51,AD_21_60,MW_8_48,MW_1_27,QC_65,AD_20_56,AD_21_61,MD_17_20,MW_9_52,MW_9_53,MD_18_21,MW_3_36,MW_10_29,MW_7_45,MD_14_7,MW_2_33,MW_3_37,MW_7_46,QC_66,MW_7_47,MW_8_49,MW_8_50,MW_10_30,MD_11_2,MD_12_4,MD_11_3,MD_12_5,MD_12_6,MD_14_8,MD_14_9,MD_15_12,MD_16_14,MD_18_22,AD_20_57,MD_18_23,MD_16_15,QC_GC_67
X2_461.0733_7.67_neg,516588.4386,434331.1084,1.08E+08,3.28E+08,513689.3313,3.08E+09,2.47E+09,423860.5878,5.56E+09,1.06E+09,3.29E+09,4.74E+09,2111326.935,1224905.952,1110687.885,7.82E+08,4.96E+09,1.78E+09,4.70E+09,2.99E+09,1.67E+08,227175.855,699009.5278,825137.0366,4.88E+09,2.78E+09,2.13E+09,9724768.23,1.18E+09,1674542.678,13200000,4.97E+09,9598119.344,4263509.862,2.89E+09,5.31E+09,5.38E+09,1.17E+09,1.40E+07,11700000,3.41E+08,2.21E+09,3.35E+08,194082.2514,5.99E+08,1191644.169,2.04E+09,249962.4078,3.07E+09,136816.6929,7697985.332,20135.08721,2.40E+08,295925.2916,1.74E+08,76624.05242,1.18E+08,10808.70184,4.78E+08,6364.266152,966566.2406,6.64E+08,2.44E+08,2.34E+09,76100000,1.10E+08,
X3_591.0998_5.96_neg,8526.202438,NA,21903.0511,51879.70679,46095.25189,2.29E+09,1.92E+09,NA,5.46E+09,6860.800723,2.31E+09,3.57E+09,180533.0008,65617.03793,43517.23771,NA,4.44E+09,NA,1.33E+09,2.24E+09,4.82E+09,21204.71361,194096.7686,93280.53976,8.72E+08,3.59E+09,7.15E+09,37065.06995,7.94E+08,6457.929769,115986.2254,5.16E+09,6.87E+09,4.32E+09,2.01E+09,6.49E+09,6.12E+09,NA,8026.152773,8313.510074,NA,6.88E+09,4.87E+09,1.16E+08,7.50E+09,42805.39321,7.01E+09,80900000,2.27E+09,NA,6.31E+09,NA,4.89E+09,NA,5.46E+08,NA,3.31E+08,NA,6.06E+09,NA,4773.063882,NA,4309.109297,1.72E+09,7672.022402,NA,
X4_467.2136_8.68_neg,2.27E+09,8.59E+08,6.89E+08,1.93E+08,7.36E+08,9.59E+08,1.04E+09,1.79E+09,1.34E+09,6.48E+08,9.15E+08,6.83E+08,7.31E+08,4.56E+08,5.22E+08,6.03E+08,9.30E+08,9.70E+08,1.39E+09,9.14E+08,4.88E+08,9.11E+08,5.73E+08,8.14E+08,1.06E+09,3.34E+08,4.49E+08,5.96E+08,6.30E+08,5.03E+08,9.10E+08,8.40E+08,1.14E+09,4.96E+08,8.67E+08,9.31E+08,1.17E+09,4.72E+08,1.10E+09,9.61E+08,3.22E+08,6.44E+08,1.19E+09,3.70E+07,3.43E+08,3.82E+08,5.15E+08,29900000,9.35E+08,NA,1.01E+09,NA,8.22E+08,1.18E+09,7.43E+08,69144.35832,5.08E+08,3531.679102,2.80E+08,NA,6.58E+08,8.50E+08,8.14E+08,1.05E+09,1.05E+09,9.74E+08,
X5_431.0983_6.96_neg,1.06E+09,1.80E+09,1.79E+09,1.79E+09,1.01E+09,1.14E+09,1.72E+09,1.75E+09,1.31E+09,1.76E+09,1.24E+09,1.49E+09,1.02E+09,1.28E+09,1.06E+09,1.70E+09,1.44E+09,1.70E+09,6.77E+08,1.12E+09,1.55E+09,1.30E+09,1.07E+09,1.05E+09,9.09E+08,1.61E+09,1.49E+09,1.15E+09,9.93E+08,1.48E+09,1.33E+09,1.30E+09,1.67E+09,1.63E+09,1.15E+09,1.39E+09,1.18E+09,1.70E+09,1.34E+09,1.36E+09,1.68E+09,1.38E+09,1.39E+09,1.80E+09,1.41E+09,1.28E+09,1.47E+09,1.76E+09,1.15E+09,1.70E+09,1.55E+09,1.70E+09,1.39E+09,1.72E+09,1.14E+09,1.69E+09,1.21E+09,1.78E+09,1.51E+09,1.71E+09,1.58E+09,1.65E+09,1.68E+09,1.79E+09,1.78E+09,1.79E+09,
X7_279.0510_6.81_neg,692370.4757,364848.4833,915181.1867,572861.9226,734126.6535,1.02E+09,3.00E+08,574529.0974,2.27E+09,789411.9832,1.01E+09,8.52E+08,3001290.357,3153349.77,4136843.067,269062.4703,1.01E+09,532445.8334,4.53E+09,9.63E+08,5.55E+08,56390.94918,7260470.798,3809124.874,3.96E+09,5.82E+08,6.20E+08,3013578.126,2.57E+09,508088.7155,2820728.378,2.02E+09,4.99E+08,1.46E+08,9.06E+08,1.38E+09,2.39E+09,998420.022,364230.4004,1164979.507,467051.0932,8.72E+08,8.10E+08,16100000,1.75E+09,4878334.397,7.41E+08,13400000,9.83E+08,NA,4.16E+08,NA,6.80E+08,240947.8543,2.86E+09,21985.15642,2.13E+09,3338.990186,1.48E+09,2006.56784,580883.6894,2281979.363,986546.2165,3.16E+08,1153763.762,3927264.403,
X9_163.0386_6.82_neg,548215.3284,2281642.74,1135500.069,921468.5886,460229.5634,9.43E+08,2.87E+08,2023762.324,2.10E+09,607173.3045,9.23E+08,7.95E+08,7887447.9,4678393.627,4826259.554,1164281.6,9.62E+08,1319575.515,4.31E+09,9.09E+08,5.11E+08,228864.5785,8579409.598,5529246.405,3.55E+09,5.38E+08,5.73E+08,5651784.164,2.34E+09,3238938.76,3766581.013,1.81E+09,4.82E+08,1.36E+08,8.39E+08,1.27E+09,2.17E+09,1729396.739,1327228.257,2260462.812,2042516.631,7.97E+08,7.34E+08,16300000,1.57E+09,5932622.13,6.69E+08,1.30E+07,8.89E+08,81127.97098,3.82E+08,73509.54065,6.18E+08,2085740.568,2.61E+09,51939.12671,1.93E+09,48768.2571,1.31E+09,93296.44954,2619375.904,3540856.272,2785818.695,3.07E+08,3913341.073,5232972.797,
X10_295.0460_5.96_neg,5386798.7,47400000,7752617.038,8133437.445,5497590.284,1.28E+09,1.12E+09,24700000,1.96E+09,10600000,1.34E+09,1.68E+09,10100000,5931788.256,5606823.853,2378534.005,1.92E+09,3853224.803,9.48E+08,1.28E+09,1.91E+09,2736724.845,15600000,7208805.422,6.45E+08,1.74E+09,2.20E+09,6496194.079,6.20E+08,7777812.683,9388164.638,2.09E+09,2.01E+09,1.85E+09,1.16E+09,2.15E+09,2.33E+09,6146046.347,2782475.989,4203786.82,10200000,2.09E+09,2.14E+09,1.99E+08,2.15E+09,8869325.848,2.61E+09,1.66E+08,1.30E+09,82630.72335,1.89E+09,364894.2109,2.00E+09,15900000,5.44E+08,223702.7848,3.52E+08,37319.97501,2.18E+09,157016.9672,17300000,10100000,21600000,1.08E+09,5.90E+07,25800000,
X11_923.1531_7.67_neg,NA,NA,419258.8447,4099978.252,NA,5.98E+08,3.35E+08,NA,2.46E+09,51800000,6.05E+08,1.71E+09,NA,NA,NA,26900000,1.96E+09,1.72E+08,1.70E+09,5.64E+08,1214059.642,NA,NA,NA,1.92E+09,5.24E+08,2.66E+08,NA,73600000,NA,NA,2.12E+09,NA,NA,5.40E+08,2.38E+09,2.52E+09,67300000,NA,NA,5118366.557,2.83E+08,5146569.487,NA,16100000,12572.72719,2.43E+08,NA,6.02E+08,NA,NA,NA,2601038.051,NA,1177908.493,NA,567458.9291,NA,9692926.98,3172.685361,5282.545327,1.90E+07,2565597.771,2.93E+08,234755.7597,477471.205,
X12_595.1310_6.47_neg,1.52E+08,3.30E+09,2.83E+08,2.80E+08,88400000,1.01E+09,488105.8516,3.55E+09,158002.4263,8.65E+08,1.02E+09,888944.1558,99300000,52706.88917,153482.2246,4.65E+08,420061.4341,9.71E+08,73300000,9.97E+08,62700000,81192.084,201839.0463,6.50E+07,61300000,190655.2767,412909.3075,30429.98008,14100000,9.16E+09,74200000,325159.5493,98055.07304,320565.4346,9.19E+08,142507.4193,125903.1154,5.59E+08,96500000,71600000,5.79E+08,252937.1214,1.94E+08,73913.04079,9.09E+08,96791.14194,332460.1087,29325.79074,9.89E+08,18513.32759,115708.9158,NA,1.20E+08,2.58E+09,5.96E+08,138922.9704,4.06E+08,23267.60976,7.45E+08,24736.97475,7.39E+09,6.45E+08,4.24E+08,311877.5387,1.21E+08,3.51E+08,
X13_593.1509_7.42_neg,10900000,77073.74753,2546213.56,3447274.341,10300000,5.09E+08,1.21E+09,97257.44871,1.95E+09,1.45E+08,5.36E+08,1.85E+09,11400000,48100000,1.09E+08,42400000,2.14E+09,83200000,2.04E+08,5.03E+08,11100000,1.66E+08,71600000,5245781.391,1.64E+08,4.72E+08,3.86E+08,1.20E+08,77300000,387681.2465,1.56E+08,1.72E+09,4.60E+08,74100000,4.66E+08,1.96E+09,1.97E+09,25900000,1.95E+08,1.86E+08,73600000,4.20E+08,2.90E+07,10100000,19500000,30800000,3.88E+08,8513601.6,5.15E+08,13010.89419,3.98E+08,NA,19700000,77862.83253,13500000,NA,8904757.224,NA,15200000,NA,110345.0844,80300000,53400000,1.37E+09,17300000,12700000,
