,Module,MD_11,MD_12,MD_14,MD_15,MD_16,MD_17,MD_18,MW_1,MW_10,MW_2,MW_3,MW_5,MW_6,MW_8,MW_9
X102_441.0841_8.89_neg,98,2794354.133,67265.01065,4585.205564,1693409.663,1334428.868,33426.58596,2177942.838,4.15E+08,3481.482316,1.30E+09,4580.836649,3198.828139,9.63E+08,17593.08625,6191.60249
X143_467.2135_8.88_neg,98,1.16E+08,4.17E+07,1.47E+07,5.51E+07,3.36E+07,2.89E+07,3.93E+07,6.92E+07,1.69E+07,1.36E+08,1.62E+07,1.92E+07,9.88E+07,5.43E+07,1.54E+07
X131_429.1768_8.25_neg,97,6.17E+07,7.61E+07,4.84E+07,7.05E+07,6.49E+07,9.48E+07,4.52E+07,9.56E+07,5.76E+07,5.09E+07,2.41E+07,3.40E+07,3.57E+07,1.58E+08,4.65E+07
X327_429.1770_7.88_neg,97,4.01E+07,6.35E+07,2.06E+07,2.81E+07,3.55E+07,5.21E+07,2.87E+07,5.08E+07,2.52E+07,3.03E+07,1.82E+07,1.37E+07,5.90E+07,6.43E+07,2.05E+07
X123_285.0406_10.76_neg,69,3181930.063,1919986.318,9592142.039,7646542.318,8641860.462,1.26E+07,3333198.627,1771620.837,4409478.992,1495749.089,4.17E+07,1.37E+08,1156257.344,8.46E+07,4.96E+07
X3328_695.1474_6.56_neg,69,4512.257278,4570.103675,89517.99289,73383.65848,333917.2995,668761.2442,60006.0867,223333.0589,258240.9121,611436.803,6976248.979,842002.2164,123104.01,1.72E+07,660516.4361
X1452_563.2140_8.11_neg,69,574208.906,1311996.234,1010523.701,948222.4523,1556554.752,3346495.856,1866136.485,1441783.59,7704255.263,1.85E+07,2796599.146,6300304.821,1340240.115,3241260.883,3312364.718
X1927_391.1621_7.41_neg,69,4528704.96,2438281.717,1427726.409,2842774.775,2517329.548,2752884.436,2052728.55,973953.2185,1156427.543,707128.8272,1698401.916,1234336.756,2451823.906,1285423.92,1041579.01
X1116_459.0935_8.84_neg,108,48249.22595,10487.01532,5690.328614,274609.6131,11843.20604,2525.858286,13614.78952,99073.8469,9247.079091,1103460.175,790460.694,72480.81223,93384.80718,2.40E+08,4399981.456
X1433_747.2874_8.29_neg,108,2139334.623,4363297.81,3554861.592,2240898.86,3173580.725,4318664.316,2247791.58,3496602.066,4129728.487,2811597.184,1291178.897,2105690.594,2765812.71,2577501.46,2193540.237
X3151_594.1138_5.01_neg,86,2058052.255,1.38E+07,6.16E+07,1395356.888,5681585.523,4559920.74,1.69E+07,34958.27085,290215.0966,14071.66324,557334.4914,678344.4683,114073.2376,10069.95077,14954.3725
X338_621.1249_5.11_neg,86,24606.3983,2.81E+07,8.90E+07,186540.9264,4.02E+07,3.25E+07,2.00E+07,200753.6175,1972416.585,76027.79415,1330861.773,1395626.999,22170.54387,2118.890466,869.2504967
X14767_603.3005_8.67_neg,113,4512.257278,18007.68144,22254.52806,20290.21692,250370.6769,689891.3305,65054.72397,606020.5133,1.12E+07,583393.8356,487484.0011,104134.8655,168803.3387,94583.0146,1274465.913
X34_421.2081_8.68_neg,113,9.86E+08,4.26E+08,9.01E+07,3.26E+08,3.08E+08,2.01E+08,2.38E+08,2.60E+08,1.17E+08,9.91E+07,1.10E+08,1.68E+08,3.57E+08,3.64E+08,1.31E+08
