Feature_1,Feature_2,biore_full,diff_mz,diff_rt,elution,Similarity_score,spearman_cor
X9138_349.1263_8.36_pos ,X9605_351.1409_5.83_pos,"""Reduction""",-2.0146,2.53,-1,,0.697810669
X9038_539.2833_9.01_pos ,X9180_541.2984_8.27_pos,"""Reduction""",-2.0151,0.74,-1,,0.890471785
X9014_175.1352_3.87_pos ,X9350_205.1523_4.44_pos,"""Methoxylation""",-30.0171,-0.57,0,,0.742213999
X8970_457.2377_7.39_pos ,X9338_499.2535_10.49_pos,"""Acetylation""",-42.0158,-3.1,0,,0.807832254
X8970_457.2377_7.39_pos ,X9096_525.3043_9.21_pos,"""Isoprenylation""",-68.0666,-1.82,1,,0.776996608
X8506_305.2467_8.67_pos ,X9040_289.2524_12.38_pos,"""Oxygenation""",15.9943,-3.71,-1,,0.92599445
X5007_643.2758_12.24_pos ,X641_805.3296_9.29_pos,"""Hexose""",-162.0538,2.95,-1,,0.657354302
X626_1053.5626_13.09_pos ,X9429_1215.6160_11.98_pos,"""Hexose""",-162.0534,1.11,-1,,0.727782917
X623_397.1545_5.71_pos ,X7449_573.1861_4.21_pos,"""Hexuronic acid""",-176.0316,1.5,-1,,0.675609004
X619_401.1785_10.65_pos ,X95_443.1891_7.80_pos,"""Acetylation""",-42.0106,2.85,0,,0.670798643
X612_286.2740_11.82_pos ,X747_300.2897_12.13_pos,"""Methylation""",-14.0157,-0.31,1,,0.99235276
X5713_907.5047_13.41_pos ,X626_1053.5626_13.09_pos,"""Deoxyhexose""",-146.0579,0.32,-1,,0.914646932
X536_202.1082_6.31_pos ,X772_216.1208_7.82_pos,"""Methylation""",-14.0126,-1.51,1,,0.934875116
X506_677.2819_9.10_pos ,X845_679.2976_8.56_pos,"""Reduction""",-2.0157,0.54,-1,,0.781560284
X506_677.2819_9.10_pos ,X7148_853.3137_7.86_pos,"""Hexuronic acid""",-176.0318,1.24,-1,,0.666481653
X506_677.2819_9.10_pos ,X6586_695.2919_8.34_pos,"""Hydration""",-18.01,0.76,-1,,0.839037928
X5026_1267.6315_8.67_pos ,X8913_1105.5788_9.89_pos,"""Hexose""",162.0527,-1.22,-1,,0.668948504
X4900_941.5092_12.85_pos ,X5163_943.5260_8.93_pos,"""Reduction""",-2.0168,3.92,-1,,0.900585877
X4714_923.4998_13.18_pos ,X4900_941.5092_12.85_pos,"""Hydration""",-18.0094,0.33,-1,,0.924267653
X4157_383.2100_8.48_pos ,X9197_399.1988_6.89_pos,"""Oxygenation""",-15.9888,1.59,-1,,0.798211533
X3232_543.1848_6.98_pos ,X934_561.1943_5.79_pos,"""Hydration""",-18.0095,1.19,-1,,0.674252236
X303_371.3269_13.30_pos ,X521_387.3217_12.90_pos,"""Oxygenation""",-15.9948,0.4,-1,,0.929078014
X2913_392.1470_3.62_pos ,X772_216.1208_7.82_pos,"""Hexuronic acid""",176.0262,-4.2,-1,,0.684613013
X2913_392.1470_3.62_pos ,X3896_378.1330_3.08_pos,"""Methylation""",14.014,0.54,1,,0.850632131
X2701_499.2155_6.42_pos ,X3036_483.2219_8.01_pos,"""Oxygenation""",15.9936,-1.59,-1,,0.66253469
X26174_543.3142_8.26_pos ,X9180_541.2984_8.27_pos,"""Reduction""",2.0158,-0.01,-1,,0.826210299
X26174_543.3142_8.26_pos ,X9096_525.3043_9.21_pos,"""Hydration""",18.0099,-0.95,-1,,0.908973173
X26174_543.3142_8.26_pos ,X3876_475.2475_5.51_pos,"""Isoprenylation""",68.0667,2.75,1,,0.710021585
X2611_469.2424_10.90_pos ,X9338_499.2535_10.49_pos,"""Methoxylation""",-30.0111,0.41,0,,0.680049337
X2554_122.0632_6.25_pos ,X41_298.0969_4.33_pos,"""Hexuronic acid""",-176.0337,1.92,-1,,0.659821153
X24460_279.0971_4.36_pos ,X943_263.1035_8.83_pos,"""Oxygenation""",15.9936,-4.47,-1,,0.701264261
X236_180.1026_4.92_pos ,X9984_162.0915_9.62_pos,"""Hydration""",18.0111,-4.7,-1,,0.720382362
