"""Compound_tpj""","""met_class""","""Ontology_msdial""","Matching.Attribute","Matching.Attribute.1","Matching.Attribute.2","Modules_comb","Modules_ind","name","selected","shared name"
"","","","""X9782_453.2116_9.47_pos""","""X9782_453.2116_9.47_pos""","""X9782_453.2116_9.47_pos""","3","114","""X9782_453.2116_9.47_pos""","false","""X9782_453.2116_9.47_pos"""
"","","","""X9701_476.1955_7.26_pos""","""X9701_476.1955_7.26_pos""","""X9701_476.1955_7.26_pos""","53","76","""X9701_476.1955_7.26_pos""","false","""X9701_476.1955_7.26_pos"""
"","","","""X9624_423.2343_10.15_pos""","""X9624_423.2343_10.15_pos""","""X9624_423.2343_10.15_pos""","4","84","""X9624_423.2343_10.15_pos""","false","""X9624_423.2343_10.15_pos"""
"","","","""X9605_351.1409_5.83_pos""","""X9605_351.1409_5.83_pos""","""X9605_351.1409_5.83_pos""","46","154","""X9605_351.1409_5.83_pos""","false","""X9605_351.1409_5.83_pos"""
"","","","""X9586_355.1504_9.39_pos""","""X9586_355.1504_9.39_pos""","""X9586_355.1504_9.39_pos""","15","122","""X9586_355.1504_9.39_pos""","false","""X9586_355.1504_9.39_pos"""
"","","","""X943_263.1035_8.83_pos""","""X943_263.1035_8.83_pos""","""X943_263.1035_8.83_pos""","79","160","""X943_263.1035_8.83_pos""","false","""X943_263.1035_8.83_pos"""
"","","","""X9429_1215.6160_11.98_pos""","""X9429_1215.6160_11.98_pos""","""X9429_1215.6160_11.98_pos""","40","162","""X9429_1215.6160_11.98_pos""","false","""X9429_1215.6160_11.98_pos"""
"","","","""X9350_205.1523_4.44_pos""","""X9350_205.1523_4.44_pos""","""X9350_205.1523_4.44_pos""","78","153","""X9350_205.1523_4.44_pos""","false","""X9350_205.1523_4.44_pos"""
"","","","""X9186_438.2335_10.15_pos""","""X9186_438.2335_10.15_pos""","""X9186_438.2335_10.15_pos""","48","75","""X9186_438.2335_10.15_pos""","false","""X9186_438.2335_10.15_pos"""
"","","","""X9138_349.1263_8.36_pos""","""X9138_349.1263_8.36_pos""","""X9138_349.1263_8.36_pos""","46","154","""X9138_349.1263_8.36_pos""","false","""X9138_349.1263_8.36_pos"""
"","","","""X9103_357.1936_9.25_pos""","""X9103_357.1936_9.25_pos""","""X9103_357.1936_9.25_pos""","4","84","""X9103_357.1936_9.25_pos""","false","""X9103_357.1936_9.25_pos"""
"","","","""X9081_1085.5526_11.64_pos""","""X9081_1085.5526_11.64_pos""","""X9081_1085.5526_11.64_pos""","1","137","""X9081_1085.5526_11.64_pos""","false","""X9081_1085.5526_11.64_pos"""
"","","","""X9068_537.0886_9.20_pos""","""X9068_537.0886_9.20_pos""","""X9068_537.0886_9.20_pos""","20","74","""X9068_537.0886_9.20_pos""","false","""X9068_537.0886_9.20_pos"""
"","","","""X9038_539.2833_9.01_pos""","""X9038_539.2833_9.01_pos""","""X9038_539.2833_9.01_pos""","4","84","""X9038_539.2833_9.01_pos""","false","""X9038_539.2833_9.01_pos"""
"","","","""X9014_175.1352_3.87_pos""","""X9014_175.1352_3.87_pos""","""X9014_175.1352_3.87_pos""","78","153","""X9014_175.1352_3.87_pos""","false","""X9014_175.1352_3.87_pos"""
"","","","""X9005_409.1770_7.87_pos""","""X9005_409.1770_7.87_pos""","""X9005_409.1770_7.87_pos""","54","83","""X9005_409.1770_7.87_pos""","false","""X9005_409.1770_7.87_pos"""
"","","","""X9002_1231.6100_11.79_pos""","""X9002_1231.6100_11.79_pos""","""X9002_1231.6100_11.79_pos""","1","137","""X9002_1231.6100_11.79_pos""","false","""X9002_1231.6100_11.79_pos"""
"","","","""X8970_457.2377_7.39_pos""","""X8970_457.2377_7.39_pos""","""X8970_457.2377_7.39_pos""","4","84","""X8970_457.2377_7.39_pos""","false","""X8970_457.2377_7.39_pos"""
"","","","""X8915_319.1359_3.23_pos""","""X8915_319.1359_3.23_pos""","""X8915_319.1359_3.23_pos""","13","82","""X8915_319.1359_3.23_pos""","false","""X8915_319.1359_3.23_pos"""
"","","","""X8913_1105.5788_9.89_pos""","""X8913_1105.5788_9.89_pos""","""X8913_1105.5788_9.89_pos""","1","137","""X8913_1105.5788_9.89_pos""","false","""X8913_1105.5788_9.89_pos"""
"","","","""X8879_367.1148_4.99_pos""","""X8879_367.1148_4.99_pos""","""X8879_367.1148_4.99_pos""","52","88","""X8879_367.1148_4.99_pos""","false","""X8879_367.1148_4.99_pos"""
"","","","""X8506_305.2467_8.67_pos""","""X8506_305.2467_8.67_pos""","""X8506_305.2467_8.67_pos""","29","72","""X8506_305.2467_8.67_pos""","false","""X8506_305.2467_8.67_pos"""
"","","","""X845_679.2976_8.56_pos""","""X845_679.2976_8.56_pos""","""X845_679.2976_8.56_pos""","34","79","""X845_679.2976_8.56_pos""","false","""X845_679.2976_8.56_pos"""
"","","","""X7728_541.3581_7.46_pos""","""X7728_541.3581_7.46_pos""","""X7728_541.3581_7.46_pos""","57","93","""X7728_541.3581_7.46_pos""","false","""X7728_541.3581_7.46_pos"""
"","","","""X747_300.2897_12.13_pos""","""X747_300.2897_12.13_pos""","""X747_300.2897_12.13_pos""","5","78","""X747_300.2897_12.13_pos""","false","""X747_300.2897_12.13_pos"""
"","","","""X70_407.1228_9.65_pos""","""X70_407.1228_9.65_pos""","""X70_407.1228_9.65_pos""","2","128","""X70_407.1228_9.65_pos""","false","""X70_407.1228_9.65_pos"""
"","","","""X690_377.1356_3.95_pos""","""X690_377.1356_3.95_pos""","""X690_377.1356_3.95_pos""","2","158","""X690_377.1356_3.95_pos""","false","""X690_377.1356_3.95_pos"""
"","","","""X682_455.2254_8.79_pos""","""X682_455.2254_8.79_pos""","""X682_455.2254_8.79_pos""","72","135","""X682_455.2254_8.79_pos""","false","""X682_455.2254_8.79_pos"""
"","","","""X5007_643.2758_12.24_pos""","""X5007_643.2758_12.24_pos""","""X5007_643.2758_12.24_pos""","75","146","""X5007_643.2758_12.24_pos""","false","""X5007_643.2758_12.24_pos"""
"","","","""X626_1053.5626_13.09_pos""","""X626_1053.5626_13.09_pos""","""X626_1053.5626_13.09_pos""","40","162","""X626_1053.5626_13.09_pos""","false","""X626_1053.5626_13.09_pos"""
"","","","""X623_397.1545_5.71_pos""","""X623_397.1545_5.71_pos""","""X623_397.1545_5.71_pos""","27","145","""X623_397.1545_5.71_pos""","false","""X623_397.1545_5.71_pos"""
"","","","""X619_401.1785_10.65_pos""","""X619_401.1785_10.65_pos""","""X619_401.1785_10.65_pos""","2","157","""X619_401.1785_10.65_pos""","false","""X619_401.1785_10.65_pos"""
"","","","""X612_286.2740_11.82_pos""","""X612_286.2740_11.82_pos""","""X612_286.2740_11.82_pos""","5","78","""X612_286.2740_11.82_pos""","false","""X612_286.2740_11.82_pos"""
"","","","""X597_221.1846_8.49_pos""","""X597_221.1846_8.49_pos""","""X597_221.1846_8.49_pos""","3","125","""X597_221.1846_8.49_pos""","false","""X597_221.1846_8.49_pos"""
"","","","""X5713_907.5047_13.41_pos""","""X5713_907.5047_13.41_pos""","""X5713_907.5047_13.41_pos""","40","162","""X5713_907.5047_13.41_pos""","false","""X5713_907.5047_13.41_pos"""
"","","","""X557_527.2468_9.74_pos""","""X557_527.2468_9.74_pos""","""X557_527.2468_9.74_pos""","3","90","""X557_527.2468_9.74_pos""","false","""X557_527.2468_9.74_pos"""
"","","","""X536_202.1082_6.31_pos""","""X536_202.1082_6.31_pos""","""X536_202.1082_6.31_pos""","39","151","""X536_202.1082_6.31_pos""","false","""X536_202.1082_6.31_pos"""
"","","","""X506_677.2819_9.10_pos""","""X506_677.2819_9.10_pos""","""X506_677.2819_9.10_pos""","34","79","""X506_677.2819_9.10_pos""","false","""X506_677.2819_9.10_pos"""
