"Peak_ID","Compound_tpj","Ontology_msdial","met_class"
"X10_295.0460_5.96_neg","Phaseolic acid","null","Phenylpropanoid"
"X1008_376.1186_3.08_neg",NA,"null","Unk"
"X101_371.2301_5.40_neg",NA,"null","Unk"
"X1010_363.1657_6.16_neg",NA,"null","Unk"
"X1013_417.1100_7.19_neg",NA,"Formula predicted","Unk"
"X1014_593.3548_11.44_neg",NA,"null","Unk"
"X1016_525.2248_9.20_neg",NA,"null","Unk"
"X1019_229.1443_11.89_neg",NA,"Unknown","Unk"
"X102_441.0841_8.89_neg",NA,"Catechin gallates","Unk"
"X1028_569.2092_6.19_neg",NA,"null","Unk"
"X103_387.1663_5.52_neg","hydroxyjasmonic acid glucoside","Fatty acyl hexosides","Unk"
"X1030_331.1764_10.27_neg",NA,"null","Unk"
"X1035_267.0733_2.74_neg","Inosine","Purine nucleosides","Unk"
"X1036_755.2043_5.55_neg","Quercetin-glc-glc-xyl","Flavonoid-3-O-glycosides","Flavonoid"
"X1044_221.0691_12.23_neg",NA,"O-glucuronides","Unk"
"X1048_521.3331_10.03_neg",NA,"null","Unk"
"X1049_357.1401_3.14_neg",NA,"null","Unk"
"X10516_563.3004_8.06_neg",NA,"null","Unk"
"X1052_471.0908_9.57_neg",NA,"null","Unk"
"X1054_347.0985_3.07_neg",NA,"Phenolic glycosides","Unk"
"X1055_523.2218_9.62_neg",NA,"Fatty acyl glycosides of mono- and disaccharides","Unk"
"X1059_629.2662_8.44_neg",NA,"null","Unk"
"X106_137.0234_4.67_neg",NA,"Hydroxybenzaldehydes","Unk"
"X10607_661.3416_10.71_neg",NA,"null","Unk"
"X1064_533.1676_7.42_neg",NA,"null","Flavonoid"
"X10665_661.3440_11.34_neg",NA,"null","Unk"
"X1067_379.1960_10.65_neg",NA,"null","Unk"
"X1076_367.1610_4.68_neg",NA,"Sulfated steroids","Unk"
"X10772_579.3006_7.82_neg",NA,"null","Unk"
"X1079_449.2755_10.14_neg",NA,"null","Unk"
"X108_377.1819_6.67_neg",NA,"Unknown","Unk"
"X1086_227.1286_11.27_neg",NA,"Unknown","Unk"
"X1089_215.0830_5.11_neg",NA,"null","Unk"
"X10901_677.1737_8.52_neg",NA,"null","Unk"
"X1092_837.3210_7.60_neg",NA,"null","Unk"
"X1093_119.0488_6.51_neg",NA,"Styrenes","Unk"
"X1097_629.2097_8.85_neg",NA,"null","Unk"
"X1105_379.1972_7.59_neg",NA,"null","Unk"
"X1108_253.1043_5.26_neg",NA,"null","Unk"
"X1109_465.2000_8.34_neg",NA,"null","Unk"
"X111_639.1766_3.02_neg","Bis-gamma-glutamylcysteinylbis-beta-alanine","Unknown","Unk"
"X1110_493.2281_7.39_neg",NA,"Terpene glycosides","Unk"
"X1111_731.3505_10.81_neg",NA,"null","Unk"
"X1114_347.0988_5.23_neg",NA,"Phenolic glycosides","Unk"
"X1115_361.1418_6.33_neg",NA,"null","Unk"
"X1116_459.0935_8.84_neg",NA,"Unknown","Unk"
"X1117_547.3127_9.50_neg",NA,"null","Unk"
"X1120_697.2104_6.78_neg",NA,"Flavonoid-7-O-glycosides","Unk"
"X1121_755.4080_10.34_neg",NA,"null","Unk"
"X1122_607.3338_10.37_neg",NA,"null","Unk"
"X1128_383.2075_10.95_neg",NA,"null","Unk"
"X1130_465.2705_8.32_neg",NA,NA,"Unk"
"X1131_230.0663_3.25_neg",NA,"null","Unk"
"X1137_505.2654_7.46_neg",NA,"null","Unk"
"X1138_867.4356_10.58_neg",NA,"Triterpene saponins","Unk"
"X114_645.2781_12.39_neg",NA,"null","Unk"
"X1141_229.1070_4.67_neg",NA,"null","Unk"
"X1154_839.3354_8.08_neg",NA,"Unknown","Unk"
"X11608_178.9747_5.95_neg",NA,"null","Unk"
"X1167_1043.5438_12.74_neg",NA,"null","Saponin"
"X1170_267.1182_9.16_neg",NA,"null","Unk"
"X11704_449.1090_7.00_neg",NA,"Flavonol O-glycosides","Unk"
"X1172_329.2335_11.53_neg",NA,"Oxidized fatty acids","Unk"
"X1178_763.2157_2.82_neg",NA,NA,"Unk"
"X1183_1083.5399_11.63_neg","AzIV","null","Saponin"
