"Peak_ID","Compound_tpj","Ontology_msdial","met_class"
"X1_166.0864_3.24_pos",NA,"Phenylalanine and derivatives","Unk"
"X1000_175.1465_8.81_pos",NA,"Unknown","Unk"
"X1001_313.0561_4.22_pos","Caffeoyl tartaric acid","Coumaric acids and derivatives","Phenylpropanoid"
"X10019_285.1678_8.62_pos",NA,"Menthane monoterpenoids","Unk"
"X1002_370.2952_11.39_pos",NA,"null","Unk"
"X10030_777.4422_9.91_pos",NA,"null","Unk"
"X10048_667.1538_7.39_pos",NA,"Unknown","Unk"
"X10054_839.3672_11.12_pos",NA,"null","Unk"
"X10057_344.1474_9.13_pos",NA,NA,"Unk"
"X1007_423.0896_7.42_pos",NA,"Xanthones","Unk"
"X1008_305.9835_4.96_pos",NA,"null","Unk"
"X10081_285.1625_8.31_pos",NA,"Medium-chain fatty acids","Unk"
"X1009_943.5261_12.47_pos","Soyasaponin I","Triterpene saponins","Saponin"
"X10108_255.0643_9.07_pos",NA,NA,"Unk"
"X10117_345.2240_7.47_pos",NA,NA,"Unk"
"X1013_397.2211_7.48_pos",NA,"Fatty acyl glycosides of mono- and disaccharides","Unk"
"X10151_365.1674_7.39_pos",NA,"Fatty acyl glycosides of mono- and disaccharides","Unk"
"X10153_339.1516_9.28_pos",NA,"6-prenylated flavanones","Unk"
"X10178_599.3939_12.03_pos",NA,"Phorbol esters","Unk"
"X1018_358.1472_5.30_pos",NA,"null","Unk"
"X10213_465.1044_8.24_pos",NA,"Flavonoid-3-O-glycosides","Unk"
"X10223_623.1891_7.76_pos",NA,"Flavonoid-7-O-glycosides","Unk"
"X1025_620.3487_9.18_pos",NA,"null","Unk"
"X1031_369.1520_7.42_pos",NA,"O-glycosyl compounds","Unk"
"X10314_492.1371_8.59_pos",NA,"Phenylalanine and derivatives","Unk"
"X10320_365.2536_7.36_pos",NA,NA,"Unk"
"X1036_105.0676_3.81_pos",NA,"Alpha amino acids","Unk"
"X10413_377.0906_5.84_pos",NA,"Quinic acids and derivatives","Unk"
"X10444_446.0410_7.99_pos",NA,"S-triazinyl-2-sulfonylureas","Unk"
"X10489_547.2162_9.03_pos",NA,NA,"Unk"
"X10492_533.2020_7.12_pos",NA,"Imidazolyl carboxylic acids and derivatives","Unk"
"X1054_539.2831_9.30_pos",NA,"Medium-chain fatty acids","Unk"
"X1059_467.1892_4.81_pos",NA,"Abscisic acids and derivatives","Unk"
"X106_418.1627_4.17_pos",NA,"null","Unk"
"X10618_314.1314_9.11_pos",NA,"Methoxyphenols","Unk"
"X10622_457.1153_8.43_pos",NA,"Flavonoid-7-O-glycosides","Unk"
