"Peak_ID_neg","Peak_ID_pos"
"X328_164.0684_3.24_neg","X1_166.0864_3.24_pos"
"X380_459.2236_8.82_neg","X1000_175.1465_8.81_pos"
"X19_311.0432_4.22_neg","X1001_313.0561_4.22_pos"
"X1938_837.3521_11.12_neg","X10054_839.3672_11.12_pos"
"X1770_467.0820_7.43_neg","X1007_423.0896_7.42_pos"
"X40_941.5125_12.47_neg","X1009_943.5261_12.47_pos"
"X458_1081.5241_12.03_neg","X10178_599.3939_12.03_pos"
"X2321_609.2193_9.03_neg","X10489_547.2162_9.03_pos"
"X149_433.2081_5.16_neg","X1068_353.1961_5.16_pos"
"X2477_867.4047_12.19_neg","X10700_631.2233_12.19_pos"
"X1839_375.1663_10.50_neg","X1077_353.1574_10.50_pos"
"X612_249.1131_12.59_neg","X1085_311.1856_12.55_pos"
"X1486_308.0786_4.59_neg","X1120_341.0868_4.58_pos"
"X487_339.0723_4.58_neg","X1120_341.0868_4.58_pos"
"X1251_300.1087_5.37_neg","X1127_302.1242_5.38_pos"
"X12533_567.0375_6.60_neg","X11334_606.1873_6.62_pos"
"X1048_521.3331_10.03_neg","X1152_545.3299_10.04_pos"
"X4064_233.0453_6.28_neg","X11543_235.0696_6.29_pos"
"X880_425.1853_5.82_neg","X1155_155.1077_5.82_pos"
"X338_621.1249_5.11_neg","X11887_566.1165_5.13_pos"
"X836_594.1105_5.07_neg","X11887_566.1165_5.13_pos"
"X1311_441.2831_6.37_neg","X119_443.2979_6.37_pos"
"X3172_446.1795_4.63_neg","X120_114.0917_4.57_pos"
"X133_623.1623_7.57_neg","X1209_625.1776_7.56_pos"
"X3328_695.1474_6.56_neg","X12176_697.1606_6.56_pos"
"X3214_805.3310_9.49_neg","X1219_807.3448_9.49_pos"
"X1539_1013.4964_11.02_neg","X12261_437.3394_11.00_pos"
"X810_225.1133_6.36_neg","X1227_227.1302_6.36_pos"
"X1412_395.1920_8.04_neg","X1234_373.1830_8.05_pos"
"X1348_401.0967_8.71_neg","X125_335.1238_8.71_pos"
"X3823_431.9998_3.49_neg","X1262_127.0418_3.50_pos"
"X826_567.2085_6.66_neg","X1276_219.1034_6.66_pos"
"X542_272.1618_2.32_neg","X128_274.1764_2.32_pos"
"X1054_347.0985_3.07_neg","X1305_325.0898_3.07_pos"
"X1131_230.0663_3.25_neg","X1308_427.1325_3.24_pos"
"X1858_435.1350_5.70_neg","X13103_234.1853_5.74_pos"
"X402_461.1667_6.40_neg","X1322_439.1592_6.41_pos"
"X18_1067.5438_12.94_neg","X133_1069.5580_12.94_pos"
"X2544_459.1485_10.32_neg","X1351_415.1573_10.32_pos"
"X397_395.1923_5.11_neg","X137_373.1827_5.11_pos"
"X309_565.1927_7.61_neg","X13994_323.1277_7.62_pos"
"X17_609.1464_6.85_neg","X14_611.1622_6.85_pos"
"X683_381.1766_5.87_neg","X1404_436.1048_5.87_pos"
"X499_535.1935_6.47_neg","X1418_537.2041_6.48_pos"
"X1326_333.1917_11.05_neg","X1426_361.1860_11.07_pos"
"X166_579.2088_8.80_neg","X1459_517.2103_8.80_pos"
"X598_447.2235_9.43_neg","X1464_317.1962_9.43_pos"
"X225_549.0887_7.40_neg","X1471_551.1035_7.40_pos"
"X276_265.0902_2.41_neg","X1475_321.0271_2.41_pos"
"X1092_837.3210_7.60_neg","X1484_839.3344_7.60_pos"
"X1044_221.0691_12.23_neg","X149_509.2363_12.23_pos"
"X245_487.0884_9.61_neg","X1493_309.0639_9.60_pos"
"X3711_531.0587_8.49_neg","X152_465.0845_8.50_pos"
"X7288_481.2055_8.27_neg","X153_175.1498_8.28_pos"
"X3266_587.2327_7.59_neg","X1533_543.2378_7.58_pos"
"X370_403.1147_7.64_neg","X1543_251.1306_7.61_pos"
"X3172_446.1795_4.63_neg","X155_448.1942_4.63_pos"
"X164_373.1424_7.63_neg","X15505_375.1471_7.63_pos"
"X263_549.2537_7.09_neg","X1555_475.3257_7.10_pos"
"X356_475.2461_7.86_neg","X15562_538.2850_7.86_pos"
"X336_475.2177_6.56_neg","X15575_497.2063_6.55_pos"
"X2082_565.3229_7.82_neg","X15620_543.3140_7.82_pos"
"X616_415.1969_7.56_neg","X1583_209.1531_7.55_pos"
"X292_357.1919_10.86_neg","X15830_497.1091_10.86_pos"
"X520_445.2412_12.02_neg","X1608_423.2357_12.02_pos"
"X7_279.0510_6.81_neg","X16162_303.0498_6.83_pos"
"X180_681.2429_5.86_neg","X16284_181.1217_5.88_pos"
"X15342_567.2723_9.53_neg","X16293_534.2895_9.58_pos"
"X2554_193.0862_12.32_neg","X163_158.1540_12.30_pos"
"X8904_561.3240_8.34_neg","X16318_629.3149_8.34_pos"
"X103_387.1663_5.52_neg","X1632_234.5808_5.52_pos"
"X4129_775.2410_6.98_neg","X1638_497.1995_6.99_pos"
"X6229_387.1036_6.14_neg","X165_365.0859_6.13_pos"
"X17984_561.2589_8.38_neg","X16793_453.2405_8.34_pos"
"X1584_403.1151_8.04_neg","X1686_405.1314_8.03_pos"
"X231_187.0969_8.08_neg","X1686_405.1314_8.03_pos"
"X387_385.1506_8.06_neg","X1686_405.1314_8.03_pos"
"X1244_461.1056_7.23_neg","X1699_142.1228_7.21_pos"
"X1049_357.1401_3.14_neg","X17_335.1308_3.14_pos"
"X3164_475.2470_8.28_neg","X1708_543.2390_8.28_pos"
"X1622_488.0979_5.41_neg","X171_391.1948_5.41_pos"
"X1408_285.0408_9.49_neg","X1710_287.0586_9.49_pos"
"X1254_380.0394_4.33_neg","X17158_259.1145_4.33_pos"
"X1114_347.0988_5.23_neg","X1737_369.0725_5.23_pos"
