"Feature_A","Feature_B","diff_rt","diff_mz","elution","biore","biore_full"
"X1282_509.2228_6.47_neg","X1729_393.2113_7.30_neg",-0.83,116.0115,-1,"Mal","Malate"
"X1787_403.1513_8.50_neg","X18242_519.1677_6.24_neg",2.26,-116.0164,-1,"Mal","Malate"
"X18242_519.1677_6.24_neg","X2031_403.1514_8.34_neg",-2.1,116.0163,-1,"Mal","Malate"
"X1109_465.2000_8.34_neg","X2114_349.1868_10.56_neg",-2.22,116.0132,-1,"Mal","Malate"
"X142_465.1981_7.80_neg","X2114_349.1868_10.56_neg",-2.76,116.0113,-1,"Mal","Malate"
"X1172_329.2335_11.53_neg","X2168_445.2402_10.15_neg",1.38,-116.0067,-1,"Mal","Malate"
"X1926_433.0824_7.45_neg","X225_549.0887_7.40_neg",0.0499999999999998,-116.0063,-1,"Mal","Malate"
"X17672_519.1508_9.24_neg","X273_635.1629_6.82_neg",2.42,-116.0121,-1,"Mal","Malate"
"X199_433.0800_7.33_neg","X2836_317.0629_8.40_neg",-1.07,116.0171,-1,"Mal","Malate"
"X1466_517.2284_8.18_neg","X3168_401.2176_9.27_neg",-1.09,116.0108,-1,"Mal","Malate"
"X2315_593.2811_10.82_neg","X3228_709.2973_8.94_neg",1.88,-116.0162,-1,"Mal","Malate"
"X1978_579.1369_7.45_neg","X3328_695.1474_6.56_neg",0.890000000000001,-116.0105,-1,"Mal","Malate"
"X29_579.1360_7.01_neg","X3328_695.1474_6.56_neg",0.45,-116.0114,-1,"Mal","Malate"
"X18242_519.1677_6.24_neg","X333_403.1505_7.53_neg",-1.29,116.0172,-1,"Mal","Malate"
"X18242_519.1677_6.24_neg","X359_403.1610_6.39_neg",-0.149999999999999,116.0067,-1,"Mal","Malate"
"X1019_229.1443_11.89_neg","X3913_345.1506_8.63_neg",3.26,-116.0063,-1,"Mal","Malate"
"X2013_461.1562_7.30_neg","X3913_345.1506_8.63_neg",-1.33,116.0056,-1,"Mal","Malate"
"X302_461.1668_6.23_neg","X3913_345.1506_8.63_neg",-2.4,116.0162,-1,"Mal","Malate"
"X1978_579.1369_7.45_neg","X3932_463.1245_10.45_neg",-3,116.0124,-1,"Mal","Malate"
"X29_579.1360_7.01_neg","X3932_463.1245_10.45_neg",-3.44,116.0115,-1,"Mal","Malate"
"X3913_345.1506_8.63_neg","X402_461.1667_6.40_neg",2.23,-116.0161,-1,"Mal","Malate"
"X307_685.2353_5.95_neg","X4066_569.2232_6.63_neg",-0.68,116.0121,-1,"Mal","Malate"
"X1326_333.1917_11.05_neg","X416_449.2026_6.96_neg",4.09,-116.0109,-1,"Mal","Malate"
"X1414_591.2296_7.34_neg","X446_475.2198_10.87_neg",-3.53,116.0098,-1,"Mal","Malate"
