"Feature_A","Feature_B","diff_rt","diff_mz","elution","biore","biore_full"
"X1077_353.1574_10.50_pos","X11325_469.1715_10.02_pos",0.48,-116.0141,-1,"Mal","Malate"
"X1150_367.1373_4.73_pos","X1543_251.1306_7.61_pos",-2.88,116.0067,-1,"Mal","Malate"
"X1512_491.1636_7.08_pos","X15505_375.1471_7.63_pos",-0.55,116.0165,-1,"Mal","Malate"
"X1262_127.0418_3.50_pos","X16185_243.0480_3.05_pos",0.45,-116.0062,-1,"Mal","Malate"
"X12010_457.2371_7.30_pos","X17243_573.2457_5.03_pos",2.27,-116.0086,-1,"Mal","Malate"
"X1250_289.1533_9.76_pos","X1891_405.1657_8.51_pos",1.25,-116.0124,-1,"Mal","Malate"
"X1891_405.1657_8.51_pos","X1902_289.1525_10.08_pos",-1.57,116.0132,-1,"Mal","Malate"
"X10019_285.1678_8.62_pos","X1919_401.1785_6.44_pos",2.18,-116.0107,-1,"Mal","Malate"
"X10081_285.1625_8.31_pos","X1919_401.1785_6.44_pos",1.87,-116.016,-1,"Mal","Malate"
"X1150_367.1373_4.73_pos","X1960_251.1263_5.89_pos",-1.16,116.011,-1,"Mal","Malate"
"X1566_357.1883_13.12_pos","X1987_473.2008_6.64_pos",6.48,-116.0125,-1,"Mal","Malate"
"X1308_427.1325_3.24_pos","X1998_311.1274_6.98_pos",-3.74,116.0051,-1,"Mal","Malate"
"X1304_385.1813_6.40_pos","X2058_269.1741_9.67_pos",-3.27,116.0072,-1,"Mal","Malate"
"X1724_331.1733_7.36_pos","X2270_447.1899_6.70_pos",0.66,-116.0166,-1,"Mal","Malate"
"X1829_249.0625_10.27_pos","X22718_365.0690_5.10_pos",5.17,-116.0065,-1,"Mal","Malate"
"X1250_289.1533_9.76_pos","X2382_405.1657_8.34_pos",1.42,-116.0124,-1,"Mal","Malate"
"X1902_289.1525_10.08_pos","X2382_405.1657_8.34_pos",1.74,-116.0132,-1,"Mal","Malate"
"X1800_255.1567_10.11_pos","X248_371.1680_6.61_pos",3.5,-116.0113,-1,"Mal","Malate"
"X2447_161.0962_8.06_pos","X2514_277.1044_5.70_pos",2.36,-116.0082,-1,"Mal","Malate"
"X22749_316.1362_2.99_pos","X255_200.1282_5.12_pos",-2.13,116.008,-1,"Mal","Malate"
"X2354_367.1501_3.57_pos","X268_251.1420_5.52_pos",-1.95,116.0081,-1,"Mal","Malate"
"X2419_367.1491_4.19_pos","X268_251.1420_5.52_pos",-1.33,116.0071,-1,"Mal","Malate"
"X1523_369.1876_12.91_pos","X297_485.2010_9.58_pos",3.33,-116.0134,-1,"Mal","Malate"
"X17799_367.2092_8.70_pos","X3036_483.2219_8.01_pos",0.69,-116.0127,-1,"Mal","Malate"
"X1262_127.0418_3.50_pos","X328_243.0475_3.06_pos",0.44,-116.0057,-1,"Mal","Malate"
"X16252_491.2491_6.80_pos","X3412_375.2379_7.83_pos",-1.03,116.0112,-1,"Mal","Malate"
"X12176_697.1606_6.56_pos","X396_581.1565_7.02_pos",-0.46,116.0041,-1,"Mal","Malate"
"X18510_697.1611_5.92_pos","X396_581.1565_7.02_pos",-1.1,116.0046,-1,"Mal","Malate"
"X10320_365.2536_7.36_pos","X413_481.2622_6.50_pos",0.86,-116.0086,-1,"Mal","Malate"
"X2701_499.2155_6.42_pos","X4157_383.2100_8.48_pos",-2.06,116.0055,-1,"Mal","Malate"
"X333_296.1107_6.14_pos","X4322_412.1240_3.62_pos",2.52,-116.0133,-1,"Mal","Malate"
"X1308_427.1325_3.24_pos","X4362_311.1162_7.96_pos",-4.72,116.0163,-1,"Mal","Malate"
"X4167_445.1691_7.21_pos","X496_329.1571_9.42_pos",-2.21,116.012,-1,"Mal","Malate"
"X29556_273.0922_2.60_pos","X5000_157.0835_3.68_pos",-1.08,116.0087,-1,"Mal","Malate"
"X4957_273.0932_2.42_pos","X5000_157.0835_3.68_pos",-1.26,116.0097,-1,"Mal","Malate"
"X3125_391.1366_9.02_pos","X5187_507.1524_3.46_pos",5.56,-116.0158,-1,"Mal","Malate"
"X1_166.0864_3.24_pos","X5268_282.0968_2.85_pos",0.39,-116.0104,-1,"Mal","Malate"
"X1664_377.1452_5.80_pos","X5926_493.1559_4.76_pos",1.04,-116.0107,-1,"Mal","Malate"
"X208_185.1148_7.79_pos","X594_301.1275_3.83_pos",3.96,-116.0127,-1,"Mal","Malate"
"X3010_436.1232_6.15_pos","X6265_552.1356_5.07_pos",1.08,-116.0124,-1,"Mal","Malate"
"X1482_171.0991_5.56_pos","X632_287.1085_5.11_pos",0.449999999999999,-116.0094,-1,"Mal","Malate"
"X3010_436.1232_6.15_pos","X6378_552.1353_4.85_pos",1.3,-116.0121,-1,"Mal","Malate"
"X496_329.1571_9.42_pos","X6417_445.1673_6.73_pos",2.69,-116.0102,-1,"Mal","Malate"
"X29556_273.0922_2.60_pos","X647_157.0836_3.89_pos",-1.29,116.0086,-1,"Mal","Malate"
"X4957_273.0932_2.42_pos","X647_157.0836_3.89_pos",-1.47,116.0096,-1,"Mal","Malate"
"X29677_261.1309_4.31_pos","X690_377.1356_3.95_pos",0.359999999999999,-116.0047,-1,"Mal","Malate"
"X1304_385.1813_6.40_pos","X6957_269.1655_8.84_pos",-2.44,116.0158,-1,"Mal","Malate"
"X1315_152.1071_4.26_pos","X699_268.1227_3.42_pos",0.84,-116.0156,-1,"Mal","Malate"
"X1459_517.2103_8.80_pos","X7459_633.2156_7.33_pos",1.47,-116.0053,-1,"Mal","Malate"
"X2274_517.2058_7.85_pos","X7459_633.2156_7.33_pos",0.52,-116.0098,-1,"Mal","Malate"
"X569_503.1916_6.92_pos","X7568_619.2003_6.72_pos",0.2,-116.0087,-1,"Mal","Malate"
"X297_485.2010_9.58_pos","X7872_601.2105_4.74_pos",4.84,-116.0095,-1,"Mal","Malate"
NA,NA,NA,NA,NA,NA,NA
"X8621_557.2566_6.06_pos","X8886_441.2464_8.89_pos",-2.83,116.0102,-1,"Mal","Malate"
"X4952_336.1251_2.78_pos","X8898_220.1184_3.70_pos",-0.92,116.0067,-1,"Mal","Malate"
"X17243_573.2457_5.03_pos","X8948_457.2369_6.83_pos",-1.8,116.0088,-1,"Mal","Malate"
"X1397_225.1488_6.64_pos","X8950_341.1545_6.16_pos",0.48,-116.0057,-1,"Mal","Malate"
"X2058_269.1741_9.67_pos","X8957_385.1853_6.01_pos",3.66,-116.0112,-1,"Mal","Malate"
"X4075_269.1797_10.03_pos","X8957_385.1853_6.01_pos",4.02,-116.0056,-1,"Mal","Malate"
"X17243_573.2457_5.03_pos","X8970_457.2377_7.39_pos",-2.36,116.008,-1,"Mal","Malate"
"X1987_473.2008_6.64_pos","X903_357.1904_7.60_pos",-0.96,116.0104,-1,"Mal","Malate"
"X1355_434.1228_3.25_pos","X9039_318.1149_4.33_pos",-1.08,116.0079,-1,"Mal","Malate"
"X536_202.1082_6.31_pos","X9039_318.1149_4.33_pos",1.98,-116.0067,-1,"Mal","Malate"
"X1919_401.1785_6.44_pos","X9070_285.1619_9.01_pos",-2.57,116.0166,-1,"Mal","Malate"
"X1077_353.1574_10.50_pos","X908_469.1681_5.71_pos",4.79,-116.0107,-1,"Mal","Malate"
"X1987_473.2008_6.64_pos","X9103_357.1936_9.25_pos",-2.61,116.0072,-1,"Mal","Malate"
"X3364_233.1145_9.16_pos","X9138_349.1263_8.36_pos",0.800000000000001,-116.0118,-1,"Mal","Malate"
"X908_469.1681_5.71_pos","X9142_353.1575_7.31_pos",-1.6,116.0106,-1,"Mal","Malate"
"X253_493.1311_10.37_pos","X9176_609.1456_7.58_pos",2.79,-116.0145,-1,"Mal","Malate"
"X21_385.1490_7.28_pos","X9303_269.1409_10.94_pos",-3.66,116.0081,-1,"Mal","Malate"
"X894_385.1468_4.43_pos","X9303_269.1409_10.94_pos",-6.51,116.0059,-1,"Mal","Malate"
"X638_252.0867_6.55_pos","X9498_368.0944_4.07_pos",2.48,-116.0077,-1,"Mal","Malate"
"X739_252.0870_6.00_pos","X9498_368.0944_4.07_pos",1.93,-116.0074,-1,"Mal","Malate"
"X1919_401.1785_6.44_pos","X9561_285.1605_9.33_pos",-2.89,116.018,-1,"Mal","Malate"
"X2019_401.1657_8.26_pos","X9561_285.1605_9.33_pos",-1.07,116.0052,-1,"Mal","Malate"
"X9548_359.0786_7.94_pos","X9679_475.0878_6.75_pos",1.19,-116.0092,-1,"Mal","Malate"
"X5388_496.1237_2.76_pos","X969_380.1122_3.83_pos",-1.07,116.0115,-1,"Mal","Malate"
"X5540_496.1234_2.59_pos","X969_380.1122_3.83_pos",-1.24,116.0112,-1,"Mal","Malate"
"X208_185.1148_7.79_pos","X9708_301.1306_6.43_pos",1.36,-116.0158,-1,"Mal","Malate"
"X17799_367.2092_8.70_pos","X9817_483.2223_8.49_pos",0.209999999999999,-116.0131,-1,"Mal","Malate"
"X1566_357.1883_13.12_pos","X983_473.2016_8.02_pos",5.1,-116.0133,-1,"Mal","Malate"
"X9103_357.1936_9.25_pos","X983_473.2016_8.02_pos",1.23,-116.008,-1,"Mal","Malate"
"X1471_551.1035_7.40_pos","X9926_667.1138_5.83_pos",1.57,-116.0103,-1,"Mal","Malate"
"X21695_551.1078_7.81_pos","X9926_667.1138_5.83_pos",1.98,-116.006,-1,"Mal","Malate"
"X3789_278.1009_7.92_pos","X9984_162.0915_9.62_pos",-1.7,116.0094,-1,"Mal","Malate"
"X1085_311.1856_12.55_pos","X12010_457.2371_7.30_pos",5.25,-146.0515,-1,"Rhab","Deoxyhexose"
"X1227_227.1302_6.36_pos","X137_373.1827_5.11_pos",1.25,-146.0525,-1,"Rhab","Deoxyhexose"
"X10213_465.1044_8.24_pos","X14_611.1622_6.85_pos",1.39,-146.0578,-1,"Rhab","Deoxyhexose"
"X10151_365.1674_7.39_pos","X1414_219.1025_7.47_pos",-0.0800000000000001,146.0649,-1,"Rhab","Deoxyhexose"
"X12176_697.1606_6.56_pos","X1471_551.1035_7.40_pos",-0.840000000000001,146.0571,-1,"Rhab","Deoxyhexose"
"X1471_551.1035_7.40_pos","X18510_697.1611_5.92_pos",1.48,-146.0576,-1,"Rhab","Deoxyhexose"
"X190_165.0629_8.88_pos","X1998_311.1274_6.98_pos",1.9,-146.0645,-1,"Rhab","Deoxyhexose"
"X1710_287.0586_9.49_pos","X2_433.1132_6.96_pos",2.53,-146.0546,-1,"Rhab","Deoxyhexose"
"X1842_415.2315_7.84_pos","X2058_269.1741_9.67_pos",-1.83,146.0574,-1,"Rhab","Deoxyhexose"
"X1724_331.1733_7.36_pos","X208_185.1148_7.79_pos",-0.43,146.0585,-1,"Rhab","Deoxyhexose"
"X14_611.1622_6.85_pos","X215_465.1031_7.09_pos",-0.24,146.0591,-1,"Rhab","Deoxyhexose"
"X1710_287.0586_9.49_pos","X2164_433.1133_8.10_pos",1.39,-146.0547,-1,"Rhab","Deoxyhexose"
"X12176_697.1606_6.56_pos","X21695_551.1078_7.81_pos",-1.25,146.0528,-1,"Rhab","Deoxyhexose"
"X18510_697.1611_5.92_pos","X21695_551.1078_7.81_pos",-1.89,146.0533,-1,"Rhab","Deoxyhexose"
"X137_373.1827_5.11_pos","X25_227.1291_5.70_pos",-0.59,146.0536,-1,"Rhab","Deoxyhexose"
"X1077_353.1574_10.50_pos","X2701_499.2155_6.42_pos",4.08,-146.0581,-1,"Rhab","Deoxyhexose"
"X12010_457.2371_7.30_pos","X2872_311.1851_12.67_pos",-5.37,146.052,-1,"Rhab","Deoxyhexose"
"X1118_530.1919_4.46_pos","X3073_384.1289_7.69_pos",-3.23,146.063,-1,"Rhab","Deoxyhexose"
"X1227_227.1302_6.36_pos","X315_373.1826_4.95_pos",1.41,-146.0524,-1,"Rhab","Deoxyhexose"
"X25_227.1291_5.70_pos","X315_373.1826_4.95_pos",0.75,-146.0535,-1,"Rhab","Deoxyhexose"
NA,NA,NA,NA,NA,NA,NA
"X10223_623.1891_7.76_pos","X3205_477.1373_9.84_pos",-2.08,146.0518,-1,"Rhab","Deoxyhexose"
"X2337_237.0885_3.37_pos","X324_383.1449_2.96_pos",0.41,-146.0564,-1,"Rhab","Deoxyhexose"
"X1418_537.2041_6.48_pos","X326_391.1504_6.90_pos",-0.42,146.0537,-1,"Rhab","Deoxyhexose"
"X108_439.1577_5.19_pos","X3615_293.1004_5.42_pos",-0.23,146.0573,-1,"Rhab","Deoxyhexose"
NA,NA,NA,NA,NA,NA,NA
"X1418_537.2041_6.48_pos","X373_391.1497_7.06_pos",-0.579999999999999,146.0544,-1,"Rhab","Deoxyhexose"
"X25561_163.0403_6.55_pos","X380_309.0973_4.72_pos",1.83,-146.057,-1,"Rhab","Deoxyhexose"
"X11334_606.1873_6.62_pos","X387_460.1268_9.38_pos",-2.76,146.0605,-1,"Rhab","Deoxyhexose"
"X1013_397.2211_7.48_pos","X3932_251.1618_8.99_pos",-1.51,146.0593,-1,"Rhab","Deoxyhexose"
"X27_727.2082_6.68_pos","X396_581.1565_7.02_pos",-0.34,146.0517,-1,"Rhab","Deoxyhexose"
"X16352_863.3317_7.43_pos","X4001_717.2747_8.00_pos",-0.57,146.057,-1,"Rhab","Deoxyhexose"
"X1842_415.2315_7.84_pos","X4075_269.1797_10.03_pos",-2.19,146.0518,-1,"Rhab","Deoxyhexose"
"X3016_299.1101_10.68_pos","X4167_445.1691_7.21_pos",3.47,-146.059,-1,"Rhab","Deoxyhexose"
"X190_165.0629_8.88_pos","X4362_311.1162_7.96_pos",0.920000000000001,-146.0533,-1,"Rhab","Deoxyhexose"
"X4199_449.1084_7.68_pos","X4583_303.0499_9.51_pos",-1.83,146.0585,-1,"Rhab","Deoxyhexose"
"X133_1069.5580_12.94_pos","X4714_923.4998_13.18_pos",-0.24,146.0582,-1,"Rhab","Deoxyhexose"
"X1009_943.5261_12.47_pos","X4767_797.4682_12.65_pos",-0.18,146.0579,-1,"Rhab","Deoxyhexose"
"X2422_773.2137_6.03_pos","X4821_627.1560_6.07_pos",-0.04,146.0577,-1,"Rhab","Deoxyhexose"
"X4199_449.1084_7.68_pos","X489_595.1701_7.42_pos",0.26,-146.0617,-1,"Rhab","Deoxyhexose"
"X12010_457.2371_7.30_pos","X490_311.1858_13.24_pos",-5.94,146.0513,-1,"Rhab","Deoxyhexose"
"X1262_127.0418_3.50_pos","X4957_273.0932_2.42_pos",1.08,-146.0514,-1,"Rhab","Deoxyhexose"
"X4157_383.2100_8.48_pos","X5043_529.2622_7.21_pos",1.27,-146.0522,-1,"Rhab","Deoxyhexose"
"X4767_797.4682_12.65_pos","X5163_943.5260_8.93_pos",3.72,-146.0578,-1,"Rhab","Deoxyhexose"
"X11912_399.1419_7.14_pos","X537_545.1942_5.58_pos",1.56,-146.0523,-1,"Rhab","Deoxyhexose"
"X4273_399.1423_7.27_pos","X537_545.1942_5.58_pos",1.69,-146.0519,-1,"Rhab","Deoxyhexose"
"X19712_350.0630_4.44_pos","X5388_496.1237_2.76_pos",1.68,-146.0607,-1,"Rhab","Deoxyhexose"
