"Feature_A","Feature_B","spearman_cor"
"X1008_376.1186_3.08_neg","X101_371.2301_5.40_neg",0.667838421214924
"X1010_363.1657_6.16_neg","X1016_525.2248_9.20_neg",0.758618563058896
"X1008_376.1186_3.08_neg","X1019_229.1443_11.89_neg",0.657847671908726
"X101_371.2301_5.40_neg","X1019_229.1443_11.89_neg",0.823126734505088
"X101_371.2301_5.40_neg","X1028_569.2092_6.19_neg",0.695837187789084
"X1019_229.1443_11.89_neg","X1028_569.2092_6.19_neg",0.738143694110391
"X102_441.0841_8.89_neg","X1028_569.2092_6.19_neg",0.673758865248227
"X1028_569.2092_6.19_neg","X1030_331.1764_10.27_neg",0.748381128584644
"X101_371.2301_5.40_neg","X1049_357.1401_3.14_neg",0.731606537156953
"X1019_229.1443_11.89_neg","X1049_357.1401_3.14_neg",0.760222016651249
"X1028_569.2092_6.19_neg","X1049_357.1401_3.14_neg",0.799568300955905
"X1030_331.1764_10.27_neg","X1049_357.1401_3.14_neg",0.683256244218316
"X1013_417.1100_7.19_neg","X10516_563.3004_8.06_neg",0.791551032994141
"X102_441.0841_8.89_neg","X1052_471.0908_9.57_neg",0.869010175763182
"X1008_376.1186_3.08_neg","X1054_347.0985_3.07_neg",0.658094357076781
"X101_371.2301_5.40_neg","X1054_347.0985_3.07_neg",0.83854455750848
"X1019_229.1443_11.89_neg","X1054_347.0985_3.07_neg",0.772802960222016
"X1028_569.2092_6.19_neg","X1054_347.0985_3.07_neg",0.718285538082023
"X1030_331.1764_10.27_neg","X1054_347.0985_3.07_neg",0.650447116867098
"X1049_357.1401_3.14_neg","X1054_347.0985_3.07_neg",0.769719395621338
"X102_441.0841_8.89_neg","X1059_629.2662_8.44_neg",0.669935245143386
"X1028_569.2092_6.19_neg","X1059_629.2662_8.44_neg",0.708418131359852
"X1052_471.0908_9.57_neg","X1059_629.2662_8.44_neg",0.71322849213691
"X1030_331.1764_10.27_neg","X1064_533.1676_7.42_neg",0.67277212457601
"X1054_347.0985_3.07_neg","X1064_533.1676_7.42_neg",0.65168054270737
"X10607_661.3416_10.71_neg","X10665_661.3440_11.34_neg",0.803515263644773
"X1028_569.2092_6.19_neg","X1067_379.1960_10.65_neg",0.662041319765649
"X1030_331.1764_10.27_neg","X1067_379.1960_10.65_neg",0.798211532531606
"X1049_357.1401_3.14_neg","X1067_379.1960_10.65_neg",0.714585260561209
"X1016_525.2248_9.20_neg","X10772_579.3006_7.82_neg",0.678445883441258
"X1044_221.0691_12.23_neg","X10772_579.3006_7.82_neg",0.680666049953746
"X101_371.2301_5.40_neg","X1079_449.2755_10.14_neg",0.764415664508171
"X1054_347.0985_3.07_neg","X1079_449.2755_10.14_neg",0.755288313290163
"X1067_379.1960_10.65_neg","X1079_449.2755_10.14_neg",0.687203206907185
"X1016_525.2248_9.20_neg","X1086_227.1286_11.27_neg",0.67277212457601
"X10516_563.3004_8.06_neg","X1086_227.1286_11.27_neg",0.770212765957447
"X1030_331.1764_10.27_neg","X1097_629.2097_8.85_neg",0.683502929386371
"X1097_629.2097_8.85_neg","X1109_465.2000_8.34_neg",0.694233734196731
"X1008_376.1186_3.08_neg","X111_639.1766_3.02_neg",0.859266111625038
"X1013_417.1100_7.19_neg","X1111_731.3505_10.81_neg",0.650940487203207
"X1044_221.0691_12.23_neg","X1111_731.3505_10.81_neg",0.660561208757323
"X10516_563.3004_8.06_neg","X1111_731.3505_10.81_neg",0.718038852913969
"X1086_227.1286_11.27_neg","X1111_731.3505_10.81_neg",0.726796176379895
"X1110_493.2281_7.39_neg","X1111_731.3505_10.81_neg",0.666604995374653
"X1054_347.0985_3.07_neg","X1114_347.0988_5.23_neg",0.670798643231576
"X1097_629.2097_8.85_neg","X1114_347.0988_5.23_neg",0.695097132284921
"X111_639.1766_3.02_neg","X1114_347.0988_5.23_neg",0.74554424915202
"X1110_493.2281_7.39_neg","X1115_361.1418_6.33_neg",0.727412889300031
"X1013_417.1100_7.19_neg","X1117_547.3127_9.50_neg",0.713598519888992
"X10516_563.3004_8.06_neg","X1117_547.3127_9.50_neg",0.820413197656491
"X1086_227.1286_11.27_neg","X1117_547.3127_9.50_neg",0.679062596361394
"X1111_731.3505_10.81_neg","X1117_547.3127_9.50_neg",0.823866790009251
"X10901_677.1737_8.52_neg","X1120_697.2104_6.78_neg",0.778106691335183
"X101_371.2301_5.40_neg","X1128_383.2075_10.95_neg",0.788097440641381
"X1019_229.1443_11.89_neg","X1128_383.2075_10.95_neg",0.897008942337342
"X1028_569.2092_6.19_neg","X1128_383.2075_10.95_neg",0.789824236817761
"X1049_357.1401_3.14_neg","X1128_383.2075_10.95_neg",0.801048411964231
"X1054_347.0985_3.07_neg","X1128_383.2075_10.95_neg",0.737897008942337
"X1059_629.2662_8.44_neg","X1128_383.2075_10.95_neg",0.664261486278137
"X1067_379.1960_10.65_neg","X1128_383.2075_10.95_neg",0.690533456675917
"X101_371.2301_5.40_neg","X1131_230.0663_3.25_neg",0.783163737280296
"X1028_569.2092_6.19_neg","X1131_230.0663_3.25_neg",0.657354301572618
"X1054_347.0985_3.07_neg","X1131_230.0663_3.25_neg",0.682146160962072
"X1079_449.2755_10.14_neg","X1131_230.0663_3.25_neg",0.697934011717545
"X111_639.1766_3.02_neg","X1131_230.0663_3.25_neg",0.839284613012643
"X1114_347.0988_5.23_neg","X1131_230.0663_3.25_neg",0.695837187789084
"X1111_731.3505_10.81_neg","X1137_505.2654_7.46_neg",0.663151403021893
