"Feature_A","Feature_B","Similarity_score"
"X10054_839.3672_11.12_pos","X10081_285.1625_8.31_pos",0.848130185345432
"X10048_667.1538_7.39_pos","X10151_365.1674_7.39_pos",0.800268204263845
"X10117_345.2240_7.47_pos","X10213_465.1044_8.24_pos",0.731996773444604
"X10117_345.2240_7.47_pos","X1031_369.1520_7.42_pos",0.93295117910018
"X10213_465.1044_8.24_pos","X1031_369.1520_7.42_pos",0.784751527392851
"X10048_667.1538_7.39_pos","X10320_365.2536_7.36_pos",0.847650233415185
"X10151_365.1674_7.39_pos","X10320_365.2536_7.36_pos",0.760632437518906
"X10117_345.2240_7.47_pos","X10444_446.0410_7.99_pos",0.732648071761964
"X1031_369.1520_7.42_pos","X10444_446.0410_7.99_pos",0.785301619392983
"X10057_344.1474_9.13_pos","X10618_314.1314_9.11_pos",0.972038494362152
"X1018_358.1472_5.30_pos","X10624_421.1589_5.09_pos",0.703234371942297
"X10048_667.1538_7.39_pos","X10641_363.1039_7.34_pos",0.702955809459935
"X10320_365.2536_7.36_pos","X10641_363.1039_7.34_pos",0.709106619382754
"X1087_353.0711_4.46_pos","X1118_530.1919_4.46_pos",0.714020579435646
"X10054_839.3672_11.12_pos","X11325_469.1715_10.02_pos",0.956294172890939
"X10081_285.1625_8.31_pos","X11325_469.1715_10.02_pos",0.927989545073856
"X10054_839.3672_11.12_pos","X11543_235.0696_6.29_pos",0.866686581134427
"X10081_285.1625_8.31_pos","X11543_235.0696_6.29_pos",0.906739993401652
"X11325_469.1715_10.02_pos","X11543_235.0696_6.29_pos",0.90699748934393
"X10117_345.2240_7.47_pos","X1184_839.3345_8.06_pos",0.878124324620006
"X10213_465.1044_8.24_pos","X1184_839.3345_8.06_pos",0.73498477466016
"X1031_369.1520_7.42_pos","X1184_839.3345_8.06_pos",0.939677727372112
"X10444_446.0410_7.99_pos","X1184_839.3345_8.06_pos",0.799326253705106
"X108_439.1577_5.19_pos","X11887_566.1165_5.13_pos",0.716967055821769
"X1_166.0864_3.24_pos","X1190_317.1172_3.25_pos",0.851499164588904
"X10117_345.2240_7.47_pos","X11913_550.1201_7.21_pos",0.92845023052413
"X10213_465.1044_8.24_pos","X11913_550.1201_7.21_pos",0.780965556219977
"X1031_369.1520_7.42_pos","X11913_550.1201_7.21_pos",0.99517557973356
"X10444_446.0410_7.99_pos","X11913_550.1201_7.21_pos",0.795185104266597
"X1184_839.3345_8.06_pos","X11913_550.1201_7.21_pos",0.935144327100256
"X10117_345.2240_7.47_pos","X11938_411.1988_6.65_pos",0.924206039985913
"X10213_465.1044_8.24_pos","X11938_411.1988_6.65_pos",0.777175274790569
"X1031_369.1520_7.42_pos","X11938_411.1988_6.65_pos",0.990532493157553
"X10444_446.0410_7.99_pos","X11938_411.1988_6.65_pos",0.777866770937995
"X1184_839.3345_8.06_pos","X11938_411.1988_6.65_pos",0.932321750648377
"X11913_550.1201_7.21_pos","X11938_411.1988_6.65_pos",0.985753748122996
"X10492_533.2020_7.12_pos","X1209_625.1776_7.56_pos",0.854163843440276
"X10054_839.3672_11.12_pos","X12175_395.0599_3.44_pos",0.705631583382525
"X10081_285.1625_8.31_pos","X12175_395.0599_3.44_pos",0.749422353746142
"X11325_469.1715_10.02_pos","X12175_395.0599_3.44_pos",0.756460814648988
"X11543_235.0696_6.29_pos","X12175_395.0599_3.44_pos",0.809448451356596
"X1001_313.0561_4.22_pos","X1225_345.1500_4.28_pos",0.785210457924676
"X10054_839.3672_11.12_pos","X12261_437.3394_11.00_pos",0.978324780329273
"X10081_285.1625_8.31_pos","X12261_437.3394_11.00_pos",0.873938598390455
"X11325_469.1715_10.02_pos","X12261_437.3394_11.00_pos",0.962888431190791
"X11543_235.0696_6.29_pos","X12261_437.3394_11.00_pos",0.856903388181877
"X12175_395.0599_3.44_pos","X12261_437.3394_11.00_pos",0.721488272796233
"X10081_285.1625_8.31_pos","X1237_216.1211_8.03_pos",0.749836334722714
"X11325_469.1715_10.02_pos","X1237_216.1211_8.03_pos",0.715858480393765
"X11543_235.0696_6.29_pos","X1237_216.1211_8.03_pos",0.788515673432373
"X10048_667.1538_7.39_pos","X1241_342.2640_9.51_pos",0.928231607895205
"X10151_365.1674_7.39_pos","X1241_342.2640_9.51_pos",0.788765814027045
"X10320_365.2536_7.36_pos","X1241_342.2640_9.51_pos",0.823139296078922
"X10641_363.1039_7.34_pos","X1241_342.2640_9.51_pos",0.687562654632249
"X10054_839.3672_11.12_pos","X125_335.1238_8.71_pos",0.710829454458599
"X10081_285.1625_8.31_pos","X125_335.1238_8.71_pos",0.74512994495689
"X11325_469.1715_10.02_pos","X125_335.1238_8.71_pos",0.755112355827269
"X11543_235.0696_6.29_pos","X125_335.1238_8.71_pos",0.726652538228783
"X12261_437.3394_11.00_pos","X125_335.1238_8.71_pos",0.724794117143733
"X114_302.3053_13.07_pos","X1250_289.1533_9.76_pos",0.840113020550352
"X1018_358.1472_5.30_pos","X12553_361.1464_5.10_pos",0.686312402263032
"X10624_421.1589_5.09_pos","X12553_361.1464_5.10_pos",0.986276092228513
"X10030_777.4422_9.91_pos","X1262_127.0418_3.50_pos",0.842151921066519
"X10048_667.1538_7.39_pos","X1304_385.1813_6.40_pos",0.965255162909526
"X10151_365.1674_7.39_pos","X1304_385.1813_6.40_pos",0.820226619994712
"X10320_365.2536_7.36_pos","X1304_385.1813_6.40_pos",0.856622528179157
"X10641_363.1039_7.34_pos","X1304_385.1813_6.40_pos",0.714986859489151
"X1241_342.2640_9.51_pos","X1304_385.1813_6.40_pos",0.961461803750466
"X1_166.0864_3.24_pos","X1308_427.1325_3.24_pos",0.721098953516508
"X1190_317.1172_3.25_pos","X1308_427.1325_3.24_pos",0.84688663106326
"X10054_839.3672_11.12_pos","X13103_234.1853_5.74_pos",0.768769854985975
"X10081_285.1625_8.31_pos","X13103_234.1853_5.74_pos",0.848333567058188
"X11325_469.1715_10.02_pos","X13103_234.1853_5.74_pos",0.80856599418697
"X11543_235.0696_6.29_pos","X13103_234.1853_5.74_pos",0.897969946974272
"X12175_395.0599_3.44_pos","X13103_234.1853_5.74_pos",0.707470418337794
"X12261_437.3394_11.00_pos","X13103_234.1853_5.74_pos",0.763958728144317
"X1237_216.1211_8.03_pos","X13103_234.1853_5.74_pos",0.745124461177983
