Contig ,MW_10,MW_9,MW_1,MW_2,MW_3,MW_5,MW_6,MW_7,MW_8,MD_11,MD_12,MD_13,MD_14,MD_15,MD_16,MD_17,MD_18,Log2FC(+We),DE/NDE(+We),DE/NDE(no We)
Ref_259_comp780_c0_seq1,79.955,121.271,195.227,96.545,201.294,157.865,47.79,123,186.909,107.316,146.805,160.008,202.338,199.414,130.385,107.806,166.634,-0.003,NDE,NDE
Ref_25_comp15253_c0_seq1,3.302,3.095,4.469,2.982,2.715,3.513,3.342,4.294,3.732,3.423,4.199,4.077,1.774,5.867,2.152,2.95,3.543,-0.187,NDE,NDE
Ref_25_comp24088_c0_seq1,0.901,2.379,0.564,0.755,1.279,0.789,1.754,1.748,0.986,1.808,1.331,1.002,1.124,2.711,1.433,1.268,1.33,0.134,NDE,NDE
Ref_080R_comp18696_c0_seq1,5.483,6.894,8.119,4.961,4.101,5.375,3.75,4.041,3.944,5.837,8.129,10.693,4.139,6.824,4.156,4.31,5.341,0.056,NDE,NDE
Ref_220_comp5844_c0_seq1,15.316,28.562,19.337,18.633,20.764,18.986,19.93,18.688,21.497,24.118,15.427,21.37,20.653,29.736,23.943,22.306,26.651,0.043,NDE,NDE
Ref_25_comp26201_c0_seq1,1.796,1.619,0.831,0.893,1.776,1.127,0.973,1.385,2.145,2.687,0.73,2.176,1.03,1.408,3.906,2.124,1.99,0.393,NDE,NDE
Ref_25_comp1447_c1_seq1,84.738,78.648,117.172,166.888,196.88,164.853,109.618,121.821,142.039,120.617,119.151,89.232,93.571,103.04,153.613,120.409,90.729,-0.384,NDE,NDE
Ref_25_comp17504_c0_seq1,3.403,5.935,3.448,3.381,4.896,2.882,2.981,2.624,3.678,3.608,2.33,4.513,3.34,7.281,5.543,3.657,9.083,0.236,NDE,NDE
Ref_259_comp12367_c0_seq1,9.134,21.856,10.645,19.831,18.362,16.65,12.51,9.332,14.352,17.013,13.893,17.818,14.061,21.511,22.421,19.784,17.871,0.139,NDE,NDE
Ref_220_comp13328_c0_seq1,56.971,8.05,2.779,2.519,10.972,5.238,7.348,6.593,14.936,4.458,2.056,15.419,16.568,17.925,44.652,9.347,5.312,0.15,NDE,NDE
Ref_25_comp7774_c0_seq1,3.186,2.559,2.55,1.438,2.048,2.255,1.736,1.883,2.119,2.846,2.399,3.181,4.154,2.762,1.896,2.383,2.36,0.158,NDE,NDE
Ref_080R_comp5838_c0_seq1,3.928,2.844,6.543,3.964,3.104,2.274,5.572,2.97,3.613,3.068,3.684,3.267,4.073,2.477,2.666,2.885,3.859,-0.398,NDE,NDE
Ref_25_comp13753_c0_seq1,7.783,6.708,6.384,3.556,5.376,4.06,4.6,7.625,6.024,8.531,5.965,7.534,6.586,4.386,5.316,7.265,7.935,0.05,NDE,NDE
Ref_080R_comp561_c0_seq1,120.09,302.027,243.047,96.884,259.616,193.87,289.442,411.594,351.365,556.709,329.572,304.817,333.711,247.078,182.782,350.58,345.156,0.201,NDE,NDE
Ref_259_comp362_c0_seq1,369.718,423.084,329.764,732.655,551.15,516.097,532.219,419.193,375.337,389.858,636.865,297.301,326.94,539.603,555.374,415.025,308.479,-0.245,NDE,NDE
Ref_259_comp4881_c0_seq1,18.665,14.767,15.152,5.238,14.561,9.617,15.218,28.068,6.966,20.714,18.382,27.107,25.475,9.289,17.59,15.602,16.58,0.231,NDE,NDE
Ref_25_comp21213_c0_seq1,0,0.154,0.035,0.145,0.063,0.061,0.077,0.042,0.017,0.024,0.126,0,0,0.108,0.016,0.06,0.097,-0.603,NDE,NDE
Ref_25_comp8614_c0_seq1,8.339,39.053,21.327,9.685,14.456,16.65,16.367,7.229,17.739,17.159,8.365,19.377,12.004,31.566,17.932,17.53,25.797,0.029,NDE,NDE
Ref_220_comp6817_c0_seq1,1.295,0.252,0.173,0.189,0.343,0.267,0.284,1.539,0.224,1.247,0.911,0.614,0.64,0.293,0.479,0.898,0.925,0.403,NDE,NDE
