,MW_10,MW_9,MW_1,MW_2,MW_3,MW_5,MW_6,MW_7,MW_8,MD_11,MD_12,MD_13,MD_14,MD_15,MD_16,MD_17,MD_18
Module_1,-6.132613005,2.768014309,-2.162519253,10.11498338,4.448496071,3.735139754,0.986257722,-6.704540506,1.083361469,-3.620884775,-3.321341001,-5.264876787,-6.230953987,9.101375325,1.079470048,0.776369302,-0.655738068
Module_2,-1.522159557,5.966022931,2.266735847,-7.260975757,-6.867450272,-2.193992335,-5.138745504,-2.780120456,-5.545661873,2.157024436,4.129109156,4.189022867,1.291366946,4.95548606,0.586865049,-1.82628217,7.593754632
Module_3,-6.130698045,-2.17332497,-5.762352983,-1.745863053,-1.821718118,1.494714419,-7.488793383,5.840931247,2.190500102,7.343729836,-3.768467283,3.271458699,3.589754465,0.468343519,0.103348912,-3.037132289,7.625568927
Module_4,-2.40883589,5.0250108,4.39094427,4.386751135,2.307394589,12.25453148,-1.723362092,-6.550123853,-0.202638025,-5.355028049,5.107821112,3.327581377,-4.885432884,-4.546939212,-4.066845974,-4.083466236,-2.977362547
Module_5,3.130627377,0.832293335,3.323432179,-8.855591989,-3.459233518,-3.432827866,-2.586436266,4.158830989,1.266589496,3.208549337,-1.912198868,4.008059564,4.010376944,-4.077774744,-1.843070538,-0.627705398,2.856079965
Module_6,-4.54811544,3.289469782,-2.135645514,-6.95722169,-2.779882154,-4.965114952,-4.7235384,1.89068864,2.82022092,9.165760883,-1.203223122,0.491905143,0.963407921,5.111989691,-3.024775216,0.697395423,5.906678086
Module_7,-0.954004341,5.899408892,8.036329989,-8.485243601,-6.20688735,-4.729866651,0.461585474,2.564648272,-3.689431203,4.457089032,1.636267674,4.699353584,-0.754965346,2.031662984,-5.389432874,-3.773200301,4.196685766
Module_8,0.233445757,-3.095445773,5.875866245,-8.909659043,-3.160798577,-3.26252448,2.848740244,5.529324943,2.47280095,5.144775008,-2.810713982,3.640076001,5.588197317,-8.332829613,-3.047428675,3.089388452,-1.803214774
Module_9,-0.91256537,-2.505706576,-1.978016233,-5.70023928,-1.790252303,-4.813296812,-1.889241745,1.838445393,3.152499166,4.825797649,-3.725472846,1.991485561,6.371916269,-3.671220291,4.27165544,3.757311972,0.776900003
Module_10,2.559848031,-3.153751844,-2.010647314,7.689792539,4.191441896,4.53714775,-1.467501367,-3.957054894,1.953349041,-5.057017149,0.312246572,-0.440813731,-2.22424025,-0.959188857,1.928302163,0.269956098,-4.171868685
Module_11,0.829491466,-0.869828254,-4.175405529,2.044090987,2.296187698,-4.125701764,3.666063641,-2.093945433,4.626230692,1.489880719,-5.23512838,-1.891588677,0.727779685,-1.389936097,3.698822137,4.282107326,-3.879120217
Module_12,2.62054932,-1.41886062,-3.395539082,7.64556545,3.594182023,2.096526691,3.021321333,-4.074107172,-3.634121526,-4.336474111,1.603296067,-4.404288509,-4.505371344,4.72100307,4.179307829,0.237065588,-3.950055008
