"","GO.ID","Term","Annotated","Significant","Expected","classicFisher","set"
"1","GO:0006412","translation",485,5,0.97,"0.0023","PLS"
"2","GO:0043043","peptide biosynthetic process",540,5,1.08,"0.0036","PLS"
"3","GO:0043604","amide biosynthetic process",549,5,1.1,"0.0039","PLS"
"4","GO:0006518","peptide metabolic process",554,5,1.11,"0.0040","PLS"
"5","GO:0043603","cellular amide metabolic process",579,5,1.16,"0.0049","PLS"
"6","GO:0034645","cellular macromolecule biosynthetic proc...",601,5,1.21,"0.0057","PLS"
"7","GO:0010467","gene expression",1905,9,3.82,"0.0073","PLS"
"8","GO:0009059","macromolecule biosynthetic process",1756,8,3.52,"0.0155","PLS"
"9","GO:0043170","macromolecule metabolic process",4467,14,8.96,"0.0204","PLS"
"10","GO:0044271","cellular nitrogen compound biosynthetic ...",1913,8,3.84,"0.0254","PLS"
"11","GO:0044249","cellular biosynthetic process",2347,9,4.71,"0.0283","PLS"
"12","GO:1901566","organonitrogen compound biosynthetic pro...",932,5,1.87,"0.0334","PLS"
"13","GO:1901576","organic substance biosynthetic process",2413,9,4.84,"0.0336","PLS"
"14","GO:0006721","terpenoid metabolic process",17,1,0.03,"0.0336","PLS"
"15","GO:0016114","terpenoid biosynthetic process",17,1,0.03,"0.0336","PLS"
"16","GO:0000917","division septum assembly",5,1,0,"0.0040","Module_1"
"17","GO:0032506","cytokinetic process",5,1,0,"0.0040","Module_1"
"18","GO:0090529","cell septum assembly",5,1,0,"0.0040","Module_1"
"19","GO:0030091","protein repair",8,1,0.01,"0.0064","Module_1"
"20","GO:0009396","folic acid-containing compound biosynthe...",12,1,0.01,"0.0096","Module_1"
"21","GO:0006535","cysteine biosynthetic process from serin...",14,1,0.01,"0.0112","Module_1"
"22","GO:0006760","folic acid-containing compound metabolic...",14,1,0.01,"0.0112","Module_1"
"23","GO:0019344","cysteine biosynthetic process",14,1,0.01,"0.0112","Module_1"
"24","GO:0000910","cytokinesis",15,1,0.01,"0.0120","Module_1"
"25","GO:0006534","cysteine metabolic process",15,1,0.01,"0.0120","Module_1"
"26","GO:0042559","pteridine-containing compound biosynthet...",17,1,0.01,"0.0136","Module_1"
"27","GO:0055085","transmembrane transport",703,3,0.56,"0.0150","Module_1"
"28","GO:0006563","L-serine metabolic process",19,1,0.02,"0.0152","Module_1"
"29","GO:0042398","cellular modified amino acid biosyntheti...",20,1,0.02,"0.0159","Module_1"
"30","GO:0051301","cell division",20,1,0.02,"0.0159","Module_1"
"31","GO:0045454","cell redox homeostasis",125,1,0.01,"0.013","Module_2"
"32","GO:0019725","cellular homeostasis",143,1,0.01,"0.014","Module_2"
"33","GO:0042592","homeostatic process",151,1,0.02,"0.015","Module_2"
"34","GO:0065008","regulation of biological quality",176,1,0.02,"0.018","Module_2"
"35","GO:0050794","regulation of cellular process",1661,1,0.17,"0.167","Module_2"
"36","GO:0050789","regulation of biological process",1708,1,0.17,"0.171","Module_2"
"37","GO:0065007","biological regulation",1756,1,0.18,"0.176","Module_2"
"38","GO:0009987","cellular process",7258,1,0.73,"0.728","Module_2"
"39","GO:0008150","biological_process",9969,1,1,"1.000","Module_2"
"40","GO:0000003","reproduction",90,0,0.01,"1.000","Module_2"
"41","GO:0000041","transition metal ion transport",25,0,0,"1.000","Module_2"
"42","GO:0000045","autophagosome assembly",7,0,0,"1.000","Module_2"
"43","GO:0000070","mitotic sister chromatid segregation",17,0,0,"1.000","Module_2"
"44","GO:0000075","cell cycle checkpoint signaling",13,0,0,"1.000","Module_2"
"45","GO:0000079","regulation of cyclin-dependent protein s...",9,0,0,"1.000","Module_2"
"46","GO:0006546","glycine catabolic process",7,1,0.01,"0.012","Module_3"
"47","GO:0009071","serine family amino acid catabolic proce...",7,1,0.01,"0.012","Module_3"
"48","GO:0016567","protein ubiquitination",102,2,0.17,"0.013","Module_3"
"49","GO:0032446","protein modification by small protein co...",109,2,0.19,"0.014","Module_3"
"50","GO:0006544","glycine metabolic process",9,1,0.02,"0.015","Module_3"
"51","GO:0070647","protein modification by small protein co...",118,2,0.2,"0.017","Module_3"
