"","GO.ID","Term","Annotated","Significant","Expected","classicFisher","set"
"1","GO:0019843","rRNA binding",26,2,0.04,"0.00083","PLS"
"2","GO:0003735","structural constituent of ribosome",351,4,0.58,"0.00249","PLS"
"3","GO:0005198","structural molecule activity",398,4,0.66,"0.00391","PLS"
"4","GO:0008661","1-deoxy-D-xylulose-5-phosphate synthase ...",6,1,0.01,"0.00988","PLS"
"5","GO:0008242","omega peptidase activity",8,1,0.01,"0.01315","PLS"
"6","GO:0003676","nucleic acid binding",2927,10,4.84,"0.01467","PLS"
"7","GO:0003723","RNA binding",361,3,0.6,"0.02116","PLS"
"8","GO:0016744","transketolase or transaldolase activity",14,1,0.02,"0.02291","PLS"
"9","GO:0008236","serine-type peptidase activity",183,2,0.3,"0.03649","PLS"
"10","GO:0017171","serine hydrolase activity",183,2,0.3,"0.03649","PLS"
"11","GO:0003746","translation elongation factor activity",23,1,0.04,"0.03737","PLS"
"12","GO:0008233","peptidase activity",464,3,0.77,"0.04024","PLS"
"13","GO:0016682","oxidoreductase activity, acting on diphe...",32,1,0.05,"0.05162","PLS"
"14","GO:0016762","xyloglucan:xyloglucosyl transferase acti...",32,1,0.05,"0.05162","PLS"
"15","GO:0008173","RNA methyltransferase activity",33,1,0.05,"0.05319","PLS"
"16","GO:0017111","nucleoside-triphosphatase activity",314,3,0.25,"0.0017","Module_1"
"17","GO:0016462","pyrophosphatase activity",326,3,0.26,"0.0019","Module_1"
"18","GO:0016818","hydrolase activity, acting on acid anhyd...",339,3,0.27,"0.0022","Module_1"
"19","GO:0016817","hydrolase activity, acting on acid anhyd...",349,3,0.28,"0.0024","Module_1"
"20","GO:0008113","peptide-methionine (S)-S-oxide reductase...",5,1,0,"0.0040","Module_1"
"21","GO:0004124","cysteine synthase activity",8,1,0.01,"0.0064","Module_1"
"22","GO:0016646","oxidoreductase activity, acting on the C...",8,1,0.01,"0.0064","Module_1"
"23","GO:0016887","ATP hydrolysis activity",189,2,0.15,"0.0096","Module_1"
"24","GO:0016846","carbon-sulfur lyase activity",16,1,0.01,"0.0127","Module_1"
"25","GO:0016671","oxidoreductase activity, acting on a sul...",18,1,0.01,"0.0142","Module_1"
"26","GO:0016645","oxidoreductase activity, acting on the C...",24,1,0.02,"0.0189","Module_1"
