transcript,met_module,cor,gene_id,region_soy,blast_soy,Phytozome,blast_ara
tr_11702,Module_1,0.842857143,Phvul.008G267100,coding,GLYMA14G02710.3,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G267100,| Symbols: PMSR4 | peptide met sulfoxide reductase 4 | chr4:12898802-12899998 REVERSE LENGTH=258
tr_23201,Module_1,0.825,Phvul.008G068000,coding,GLYMA09G39790.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G068000,| Symbols:  | Amino acid dehydrogenase family protein | chr4:259265-260788 REVERSE LENGTH=360
tr_18042,Module_1,0.821428571,Phvul.008G055200,coding,GLYMA18G47630.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G055200,| Symbols: PIN5 | Auxin efflux carrier family protein | chr5:5400735-5402626 FORWARD LENGTH=351
tr_19158,Module_1,0.821428571,Phvul.003G114100,coding,GLYMA07G36870.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G114100,| Symbols: HCF107 | high chlorophyll fluorescent 107 | chr3:5809378-5812605 REVERSE LENGTH=652
tr_22594,Module_1,0.821428571,Phvul.008G001900,coding,GLYMA18G53860.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G001900,| Symbols:  | RmlC-like cupins superfamily protein | chr2:17927339-17928871 FORWARD LENGTH=321
tr_18522,Module_1,0.796428571,Phvul.001G198400,coding,GLYMA19G38970.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G198400,| Symbols:  | ABC-2 type transporter family protein | chr5:1990060-1994605 REVERSE LENGTH=751
tr_19887,Module_1,-0.796428571,Phvul.002G167800,coding,GLYMA07G35270.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G167800,| Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr2:1028292-1030361 FORWARD LENGTH=689
tr_10332,Module_1,-0.8,Phvul.010G003600,coding,GLYMA03G09100.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G003600,"| Symbols: AUX1, WAV5, PIR1, MAP1 | Transmembrane amino acid transporter family protein | chr2:15973493-15976792 FORWARD LENGTH=485"
tr_13705,Module_1,-0.8,Phvul.009G251100,noncoding,GLYMA15G16190.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G251100,None
tr_22408,Module_1,-0.8,Phvul.004G049000,coding,GLYMA13G07200.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G049000,| Symbols: TBL24 | TRICHOME BIREFRINGENCE-LIKE 24 | chr4:12387870-12389659 FORWARD LENGTH=430
tr_23497,Module_1,-0.8,Phvul.008G159500,coding,GLYMA13G08870.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G159500,| Symbols:  | Leucine-rich repeat receptor-like protein kinase family protein | chr3:8780551-8784150 FORWARD LENGTH=1141
tr_25437,Module_1,-0.8,Phvul.002G287100,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G287100,None
tr_26412,Module_1,-0.8,Phvul.004G049000,coding,GLYMA19G05770.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G049000,| Symbols: TBL19 | TRICHOME BIREFRINGENCE-LIKE 19 | chr5:5189524-5192070 REVERSE LENGTH=426
tr_24664,Module_1,-0.800715244,Phvul.008G007800,coding,GLYMA18G53230.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G007800,| Symbols:  | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: 50S ribosomal protein-related (TAIR:AT5G16200.1); Has 36 Blast hits to 36 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 36; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:24957614-24958090 FORWARD LENGTH=158
