transcript,met_module,cor,gene_id,region_soy,blast_soy,blast_ara,Phytozome_link
tr_11702,Module_1,0.842857143,Phvul.008G267100,coding,GLYMA14G02710.3,| Symbols: PMSR4 | peptide met sulfoxide reductase 4 | chr4:12898802-12899998 REVERSE LENGTH=258,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G267100
tr_23201,Module_1,0.825,Phvul.008G068000,coding,GLYMA09G39790.1,| Symbols:  | Amino acid dehydrogenase family protein | chr4:259265-260788 REVERSE LENGTH=360,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G068000
tr_18042,Module_1,0.821428571,Phvul.008G055200,coding,GLYMA18G47630.1,| Symbols: PIN5 | Auxin efflux carrier family protein | chr5:5400735-5402626 FORWARD LENGTH=351,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G055200
tr_19158,Module_1,0.821428571,Phvul.003G114100,coding,GLYMA07G36870.2,| Symbols: HCF107 | high chlorophyll fluorescent 107 | chr3:5809378-5812605 REVERSE LENGTH=652,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G114100
tr_22594,Module_1,0.821428571,Phvul.008G001900,coding,GLYMA18G53860.1,| Symbols:  | RmlC-like cupins superfamily protein | chr2:17927339-17928871 FORWARD LENGTH=321,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G001900
tr_18522,Module_1,0.796428571,Phvul.001G198400,coding,GLYMA19G38970.1,| Symbols:  | ABC-2 type transporter family protein | chr5:1990060-1994605 REVERSE LENGTH=751,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G198400
tr_25216,Module_1,0.796428571,Phvul.002G002800,coding,GLYMA05G05820.1,| Symbols: LON2 | lon protease 2 | chr5:19093356-19098678 REVERSE LENGTH=888,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G002800
tr_208,Module_1,0.792857143,Phvul.004G106800,coding,GLYMA16G29810.1,"| Symbols: MIND, ARC11, ATMIND1 | septum site-determining protein (MIND) | chr5:8116731-8117711 FORWARD LENGTH=326",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G106800
tr_10824,Module_1,0.792857143,Phvul.003G171700,coding,GLYMA13G23180.1,| Symbols: PHT4;5 | phosphate transporter 4;5 | chr5:6887936-6892358 REVERSE LENGTH=517,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G171700
tr_9497,Module_1,0.789285714,Phvul.002G332000,coding,GLYMA05G33640.1,"| Symbols: PAP3, ATPAP3 | purple acid phosphatase 3 | chr1:5058680-5060988 FORWARD LENGTH=366",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G332000
tr_25832,Module_1,0.789285714,Phvul.006G016900,coding,GLYMA02G26160.1,"| Symbols: LOX2, ATLOX2 | lipoxygenase 2 | chr3:16525437-16529233 FORWARD LENGTH=896",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G016900
tr_1596,Module_1,0.785714286,Phvul.005G148300,coding,GLYMA13G41540.1,| Symbols: AAC1 | ADP/ATP carrier 1 | chr3:2605706-2607030 REVERSE LENGTH=381,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G148300
tr_10946,Module_1,0.785714286,Phvul.006G062300,coding,GLYMA18G07880.1,| Symbols: NPQ6 | Protein of unknown function (DUF565) | chr5:17268404-17268880 FORWARD LENGTH=158,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G062300
tr_25355,Module_1,0.782142857,Phvul.006G044900,noncoding,GLYMA06G34970.1,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G044900
tr_8616,Module_1,0.778571429,Phvul.007G000400,coding,GLYMA10G44620.1,| Symbols:  | Homeodomain-like superfamily protein | chr2:14210180-14211487 REVERSE LENGTH=314,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G000400
tr_9394,Module_1,0.771020912,Phvul.005G058100,noncoding,None,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G058100
tr_4028,Module_1,0.760714286,Phvul.005G071400,coding,GLYMA13G35320.1,"| Symbols: PDF2.3, LCR68 | low-molecular-weight cysteine-rich 68 | chr2:540071-540407 FORWARD LENGTH=77",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G071400
tr_25975,Module_1,0.760714286,Phvul.003G016900,coding,GLYMA02G09460.1,| Symbols:  | Sec14p-like phosphatidylinositol transfer family protein | chr1:5105237-5106793 REVERSE LENGTH=252,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G016900
tr_15268,Module_1,0.757142857,Phvul.009G205600,coding,GLYMA06G26370.1,"| Symbols: ATPP2-A10, PP2-A10 | phloem protein 2-A10 | chr1:3327637-3328448 REVERSE LENGTH=184",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G205600
tr_23527,Module_1,0.756787469,Phvul.008G267000,noncoding,GLYMA02G46030.1,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G267000
tr_24505,Module_1,0.753571429,Phvul.008G061100,coding,GLYMA18G46920.1,"| Symbols: ATCYSC1, ARATH;BSAS3;1, CYSC1 | cysteine synthase C1 | chr3:22735885-22737792 FORWARD LENGTH=368",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G061100
tr_25726,Module_1,0.753571429,Phvul.001G148300,coding,GLYMA19G33580.1,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G03340.1); Has 41 Blast hits to 41 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr4:1292816-1294670 FORWARD LENGTH=418,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G148300
tr_15873,Module_1,0.75,Phvul.002G145500,noncoding,None,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G145500
tr_20792,Module_1,0.75,Phvul.009G025400,coding,GLYMA04G18440.1,| Symbols: TRFL5 | TRF-like 5 | chr1:5406138-5407310 FORWARD LENGTH=390,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.009G025400
tr_17352,Module_1,0.742857143,Phvul.006G110300,coding,GLYMA03G41650.1,| Symbols:  | Mitochondrial substrate carrier family protein | chr2:19015998-19018020 FORWARD LENGTH=361,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G110300
tr_26145,Module_1,0.742857143,Phvul.003G295300,coding,GLYMA07G33330.1,"| Symbols: ATCXE12, CXE12 | alpha/beta-Hydrolases superfamily protein | chr3:18037186-18038160 REVERSE LENGTH=324",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G295300
tr_16088,Module_1,0.735714286,Phvul.010G105000,coding,GLYMA16G03450.4,| Symbols:  | Nuclear transport factor 2 (NTF2) family protein | chr2:18953326-18954467 FORWARD LENGTH=240,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.010G105000
tr_22637,Module_1,0.732142857,Phvul.003G020400,coding,GLYMA09G22600.1,"| Symbols: MMZ1, UEV1A | MMS ZWEI homologue 1 | chr1:8257209-8258573 REVERSE LENGTH=158",https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G020400
tr_20225,Module_1,0.728571429,Phvul.001G098600,coding,GLYMA19G28180.1,| Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G16330.1); Has 114 Blast hits to 114 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 114; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:19407559-19408185 REVERSE LENGTH=208,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G098600
