transcript,met_module,cor,gene_id,region_soy,blast_soy,Phytozome_link,blast_ara
tr_11702,Module_1,0.842857143,Phvul.008G267100,coding,GLYMA14G02710.3,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G267100,| Symbols: PMSR4 | peptide met sulfoxide reductase 4 | chr4:12898802-12899998 REVERSE LENGTH=258
tr_23201,Module_1,0.825,Phvul.008G068000,coding,GLYMA09G39790.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G068000,| Symbols:  | Amino acid dehydrogenase family protein | chr4:259265-260788 REVERSE LENGTH=360
tr_18042,Module_1,0.821428571,Phvul.008G055200,coding,GLYMA18G47630.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G055200,| Symbols: PIN5 | Auxin efflux carrier family protein | chr5:5400735-5402626 FORWARD LENGTH=351
tr_19158,Module_1,0.821428571,Phvul.003G114100,coding,GLYMA07G36870.2,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G114100,| Symbols: HCF107 | high chlorophyll fluorescent 107 | chr3:5809378-5812605 REVERSE LENGTH=652
tr_22594,Module_1,0.821428571,Phvul.008G001900,coding,GLYMA18G53860.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.008G001900,| Symbols:  | RmlC-like cupins superfamily protein | chr2:17927339-17928871 FORWARD LENGTH=321
tr_18522,Module_1,0.796428571,Phvul.001G198400,coding,GLYMA19G38970.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.001G198400,| Symbols:  | ABC-2 type transporter family protein | chr5:1990060-1994605 REVERSE LENGTH=751
tr_25216,Module_1,0.796428571,Phvul.002G002800,coding,GLYMA05G05820.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G002800,| Symbols: LON2 | lon protease 2 | chr5:19093356-19098678 REVERSE LENGTH=888
tr_208,Module_1,0.792857143,Phvul.004G106800,coding,GLYMA16G29810.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.004G106800,"| Symbols: MIND, ARC11, ATMIND1 | septum site-determining protein (MIND) | chr5:8116731-8117711 FORWARD LENGTH=326"
tr_10824,Module_1,0.792857143,Phvul.003G171700,coding,GLYMA13G23180.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.003G171700,| Symbols: PHT4;5 | phosphate transporter 4;5 | chr5:6887936-6892358 REVERSE LENGTH=517
tr_9497,Module_1,0.789285714,Phvul.002G332000,coding,GLYMA05G33640.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.002G332000,"| Symbols: PAP3, ATPAP3 | purple acid phosphatase 3 | chr1:5058680-5060988 FORWARD LENGTH=366"
tr_25832,Module_1,0.789285714,Phvul.006G016900,coding,GLYMA02G26160.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G016900,"| Symbols: LOX2, ATLOX2 | lipoxygenase 2 | chr3:16525437-16529233 FORWARD LENGTH=896"
tr_1596,Module_1,0.785714286,Phvul.005G148300,coding,GLYMA13G41540.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G148300,| Symbols: AAC1 | ADP/ATP carrier 1 | chr3:2605706-2607030 REVERSE LENGTH=381
tr_10946,Module_1,0.785714286,Phvul.006G062300,coding,GLYMA18G07880.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G062300,| Symbols: NPQ6 | Protein of unknown function (DUF565) | chr5:17268404-17268880 FORWARD LENGTH=158
tr_25355,Module_1,0.782142857,Phvul.006G044900,noncoding,GLYMA06G34970.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.006G044900,None
tr_8616,Module_1,0.778571429,Phvul.007G000400,coding,GLYMA10G44620.1,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.007G000400,| Symbols:  | Homeodomain-like superfamily protein | chr2:14210180-14211487 REVERSE LENGTH=314
tr_9394,Module_1,0.771020912,Phvul.005G058100,noncoding,None,https://phytozome-next.jgi.doe.gov/report/gene/Pvulgaris_v2_1/Phvul.005G058100,None
